Elapsed Hours (since 7:00),CE8_FED001_061621_concat_00.CSV,CE8_FED002_061621_00.CSV,CE8_FED003_061621_00.CSV,CE8_FED005_061621_00.CSV,CE8_FED006_061621_01.CSV,CE8_FED009_061621_00.CSV,CE8a_FED001_090321_concat_00.CSV,CE8a_FED002_090321_concat_00.CSV,CE8a_FED003_090321_01.CSV,CE8a_FED004_090321_00.CSV,CE8a_FED005_090321_concat_00.CSV,CE8a_FED006_090321_02.CSV,CE8_FED001_060921_00.CSV,CE8_FED002_060921_concat_00.CSV,CE8_FED003_060921_concat_00.CSV,CE8_FED005_060921_concat_00.CSV,CE8_FED006_060921_01.CSV,CE8_FED009_060921_00.CSV,CE8a_FED001_082621_01.CSV,CE8a_FED002_082621_03.CSV,CE8a_FED003_082621_05.CSV,CE8a_FED004_082621_01.CSV,CE8a_FED005_082621_01.CSV,CE8a_FED006_082621_01.CSV,Post,Post SEM,Pre,Pre SEM
47.0,50.0,22.0,40.0,25.0,48.0,2.0,19.0,56.0,150.0,27.0,67.0,79.0,42.0,59.0,18.0,65.0,114.0,187.0,70.0,151.0,108.0,250.0,67.0,62.0,48.75,11.164829111585592,99.41666666666667,19.336125059670884
48.0,62.0,27.0,26.0,46.0,0.0,12.0,22.0,185.0,77.0,56.0,129.0,48.0,32.0,26.0,90.0,43.0,2.0,60.0,163.0,42.0,62.0,163.0,57.0,62.0,57.5,15.213879229575907,66.83333333333333,14.431569631200968
49.0,38.0,13.0,36.0,42.0,18.0,19.0,16.0,111.0,19.0,83.0,69.0,119.0,0.0,48.0,31.0,21.0,65.0,107.0,47.0,21.0,75.0,57.0,70.0,29.0,48.583333333333336,10.934694806214322,47.583333333333336,8.472288458095116
50.0,60.0,6.0,62.0,18.0,4.0,13.0,75.0,76.0,17.0,24.0,113.0,18.0,13.0,61.0,49.0,26.0,31.0,193.0,117.0,2.0,50.0,54.0,50.0,36.0,40.5,10.17461189789209,56.833333333333336,14.904155071114847
51.0,16.0,0.0,32.0,9.0,13.0,8.0,18.0,183.0,24.0,27.0,120.0,95.0,14.0,22.0,30.0,18.0,14.0,47.0,119.0,48.0,30.0,41.0,25.0,21.0,45.416666666666664,16.372768565671798,35.75,8.295786626810973
52.0,21.0,4.0,53.0,9.0,2.0,14.0,18.0,123.0,25.0,24.0,68.0,51.0,13.0,72.0,10.0,17.0,24.0,50.0,40.0,24.0,23.0,40.0,80.0,25.0,34.333333333333336,10.03050901555405,34.833333333333336,6.506213036844711
53.0,24.0,10.0,55.0,18.0,11.0,8.0,10.0,73.0,13.0,24.0,131.0,36.0,12.0,31.0,38.0,17.0,4.0,31.0,50.0,60.0,10.0,4.0,50.0,16.0,34.416666666666664,10.526631690501706,26.916666666666668,5.568387957429372
54.0,27.0,9.0,36.0,2.0,2.0,0.0,126.0,103.0,25.0,13.0,39.0,45.0,13.0,22.0,18.0,22.0,11.0,32.0,42.0,2.0,24.0,24.0,47.0,17.0,35.583333333333336,11.594446380430885,22.833333333333332,3.6594281167163456
55.0,35.0,1.0,26.0,9.0,6.0,9.0,47.0,20.0,2.0,13.0,161.0,47.0,6.0,36.0,14.0,24.0,43.0,48.0,41.0,29.0,9.0,40.0,73.0,4.0,31.333333333333332,12.682207372472027,30.583333333333332,5.891002812884591
56.0,13.0,15.0,57.0,18.0,31.0,13.0,219.0,167.0,22.0,21.0,42.0,141.0,10.0,21.0,31.0,5.0,54.0,38.0,53.0,55.0,19.0,98.0,38.0,16.0,63.25,20.506881697851995,36.5,7.486857171272223
