MM:DD:YYYY hh:mm:ss,Library_Version,Prob_left,Prob_right,Battery_Voltage,Motor_Turns,PelletsToSwitch,Event,High_prob_poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Session_type,Device_Number
2023-02-18 17:16:00,1.17.0,20,80,4.18,,30,Right,Right,28,14,17,17,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:16:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,14,18,17,0.75,21.0,,,,,,Bandit,C:\Use
2023-02-18 17:16:00,1.17.0,20,80,4.18,,30,Right,Right,28,15,18,18,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:16:00,1.17.0,20,80,4.18,2.0,30,Pellet,Right,28,15,19,18,0.94,20.0,,,,,,Bandit,C:\Use
2023-02-18 17:16:00,1.17.0,20,80,4.18,,30,Right,Right,28,16,19,19,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:16:00,1.17.0,20,80,4.18,2.0,30,Pellet,Right,28,16,20,19,2.53,25.0,,,,,,Bandit,C:\Use
2023-02-18 17:17:00,1.17.0,20,80,4.18,,30,Right,Right,28,17,20,20,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:17:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,17,21,20,0.94,20.0,,,,,,Bandit,C:\Use
2023-02-18 17:17:00,1.17.0,20,80,4.18,,30,Right,Right,28,18,21,21,,,0.09,,,,,Bandit,C:\Use
2023-02-18 17:17:00,1.17.0,20,80,4.19,1.0,30,Pellet,Right,28,18,22,21,0.5,22.0,,,,,,Bandit,C:\Use
2023-02-18 17:17:00,1.17.0,20,80,4.18,,30,Right,Right,28,19,22,22,,,0.05,,,,,Bandit,C:\Use
2023-02-18 17:17:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,19,23,22,0.75,23.0,,,,,,Bandit,C:\Use
2023-02-18 17:18:00,1.17.0,20,80,4.18,,30,Right,Right,28,20,23,23,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:18:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,20,24,23,0.5,21.0,,,,,,Bandit,C:\Use
2023-02-18 17:18:00,1.17.0,20,80,4.18,,30,Right,Right,28,21,24,24,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:18:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,21,25,24,0.37,21.0,,,,,,Bandit,C:\Use
2023-02-18 17:18:00,1.17.0,20,80,4.19,,30,Right,Right,28,22,25,25,,,0.01,,,,,Bandit,C:\Use
2023-02-18 17:19:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,22,26,25,0.37,22.0,,,,,,Bandit,C:\Use
2023-02-18 17:19:00,1.17.0,20,80,4.19,,30,Right,Right,28,23,26,26,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:19:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,23,27,26,0.69,27.0,,,,,,Bandit,C:\Use
2023-02-18 17:20:00,1.17.0,20,80,4.18,,30,Right,Right,28,24,27,27,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:20:00,1.17.0,20,80,4.18,2.0,30,Pellet,Right,28,24,28,27,0.25,64.0,,,,,,Bandit,C:\Use
2023-02-18 17:20:00,1.17.0,20,80,4.19,,30,Right,Right,28,25,28,28,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:21:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,25,29,28,0.12,26.0,,,,,,Bandit,C:\Use
2023-02-18 17:21:00,1.17.0,20,80,4.18,,30,Right,Right,28,26,29,29,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:21:00,1.17.0,20,80,4.18,1.0,30,Pellet,Right,28,26,30,29,0.25,26.0,,,,,,Bandit,C:\Use
2023-02-18 17:21:00,1.17.0,80,20,4.18,,30,Right,Left,28,27,30,0,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:23:00,1.17.0,80,20,4.19,,30,Left,Left,29,27,30,0,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:28:00,1.17.0,80,20,4.18,,30,Left,Left,30,27,30,0,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:28:00,1.17.0,80,20,4.18,,30,LeftinTimeOut,Left,30,27,30,0,,,,,,,,Bandit,C:\Use
2023-02-18 17:34:00,1.17.0,80,20,4.18,,30,Left,Left,31,27,30,0,,,0.23,,,,,Bandit,C:\Use
2023-02-18 17:34:00,1.17.0,80,20,4.18,2.0,30,Pellet,Left,31,27,31,0,0.37,788.0,,,,,,Bandit,C:\Use
2023-02-18 17:34:00,1.17.0,80,20,4.18,,30,Left,Left,32,27,31,1,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:34:00,1.17.0,80,20,4.18,1.0,30,Pellet,Left,32,27,32,1,0.25,24.0,,,,,,Bandit,C:\Use
2023-02-18 17:35:00,1.17.0,80,20,4.18,,30,Left,Left,33,27,32,2,,,0.28,,,,,Bandit,C:\Use
2023-02-18 17:35:00,1.17.0,80,20,4.18,1.0,30,Pellet,Left,33,27,33,2,0.19,25.0,,,,,,Bandit,C:\Use
2023-02-18 17:35:00,1.17.0,80,20,4.18,,30,Left,Left,34,27,33,3,,,0.28,,,,,Bandit,C:\Use
2023-02-18 17:35:00,1.17.0,80,20,4.18,1.0,30,Pellet,Left,34,27,34,3,0.19,21.0,,,,,,Bandit,C:\Use
2023-02-18 17:36:00,1.17.0,80,20,4.18,,30,Left,Left,35,27,34,4,,,0.78,,,,,Bandit,C:\Use
2023-02-18 17:36:00,1.17.0,80,20,4.18,1.0,30,Pellet,Left,35,27,35,4,0.12,33.0,,,,,,Bandit,C:\Use
2023-02-18 17:36:00,1.17.0,80,20,4.18,,30,Left,Left,36,27,35,5,,,0.13,,,,,Bandit,C:\Use
2023-02-18 17:36:00,1.17.0,80,20,4.18,2.0,30,Pellet,Left,36,27,36,5,0.63,23.0,,,,,,Bandit,C:\Use
2023-02-18 17:37:00,1.17.0,80,20,4.18,,30,Left,Left,37,27,36,6,,,0.0,,,,,Bandit,C:\Use
2023-02-18 17:37:00,1.17.0,80,20,4.18,1.0,30,Pellet,Left,37,27,37,6,0.19,28.0,,,,,,Bandit,C:\Use
2023-02-18 17:37:00,1.17.0,80,20,4.18,,30,Left,Left,38,27,37,7,,,0.25,,,,,Bandit,C:\Use
2023-02-18 17:37:00,1.17.0,80,20,4.18,1.0,30,Pellet,Left,38,27,38,7,0.31,38.0,,,,,,Bandit,C:\Use
2023-02-18 17:38:00,1.17.0,80,20,4.18,,30,Left,Left,39,27,38,8,,,0.18,,,,,Bandit,C:\Use
2023-02-18 17:38:00,1.17.0,80,20,4.18,1.0,30,Pellet,Left,39,27,39,8,0.44,24.0,,,,,,Bandit,C:\Use
2023-02-18 17:38:00,1.17.0,80,20,4.18,,30,Left,Left,40,27,39,9,,,0.28,,,,,Bandit,C:\Use
2023-02-18 17:38:00,1.17.0,80,20,4.18,1.0,30,Pellet,Left,40,27,40,9,0.19,36.0,,,,,,Bandit,C:\Use
2023-02-18 18:47:00,1.17.0,80,20,4.18,,30,Left,Left,41,27,40,10,,,0.0,,,,,Bandit,C:\Use
2023-02-18 18:47:00,1.17.0,80,20,4.18,1.0,30,Pellet,Left,41,27,41,10,3.54,4110.0,,,,,,Bandit,C:\Use
2023-02-18 18:47:00,1.17.0,80,20,4.18,,30,Left,Left,42,27,41,11,,,0.0,,,,,Bandit,C:\Use
2023-02-18 18:47:00,1.17.0,80,20,4.18,1.0,30,Pellet,Left,42,27,42,11,1.26,33.0,,,,,,Bandit,C:\Use
2023-02-18 18:48:00,1.17.0,80,20,4.18,,30,Left,Left,43,27,42,12,,,0.0,,,,,Bandit,C:\Use
2023-02-18 18:48:00,1.17.0,80,20,4.18,1.0,30,Pellet,Left,43,27,43,12,0.5,30.0,,,,,,Bandit,C:\Use
2023-02-18 18:48:00,1.17.0,80,20,4.18,,30,Left,Left,44,27,43,13,,,0.23,,,,,Bandit,C:\Use
