Time,B65
5/15/2024 14:00,3.6
5/15/2024 15:00,20
5/15/2024 16:00,3.42
5/15/2024 17:00,13.1
5/15/2024 18:00,16.6
5/15/2024 19:00,30.9
5/15/2024 20:00,56
5/15/2024 21:00,56
5/15/2024 22:00,48.7
5/15/2024 23:00,17.4
5/16/2024 0:00,35.6
5/16/2024 1:00,29.8
5/16/2024 2:00,4.08
5/16/2024 3:00,12
5/16/2024 4:00,31.6
5/16/2024 5:00,23.3
5/16/2024 6:00,7.65
5/16/2024 7:00,11.4
5/16/2024 8:00,16.4
5/16/2024 9:00,2.97
5/16/2024 10:00,8.13
5/16/2024 11:00,5.12
5/16/2024 12:00,2.44
5/16/2024 13:00,11.7
5/16/2024 14:00,8.44
5/16/2024 15:00,1.72
5/16/2024 16:00,14.6
5/16/2024 17:00,32.1
5/16/2024 18:00,27.9
5/16/2024 19:00,48.4
5/16/2024 20:00,63.8
5/16/2024 21:00,61.8
5/16/2024 22:00,51.4
5/16/2024 23:00,27.7
5/17/2024 0:00,7.34
5/17/2024 1:00,38.2
5/17/2024 2:00,5.92
5/17/2024 3:00,11.3
5/17/2024 4:00,41.4
5/17/2024 5:00,27
5/17/2024 6:00,4.3
5/17/2024 7:00,33
5/17/2024 8:00,3.24
5/17/2024 9:00,1.7
5/17/2024 10:00,5.41
5/17/2024 11:00,38.4
5/17/2024 12:00,3.83
5/17/2024 13:00,23.5
5/17/2024 14:00,3.99
5/17/2024 15:00,16.9
5/17/2024 16:00,1.8
5/17/2024 17:00,0.0244
