Time,50E
5/15/2024 10:00,0.697
5/15/2024 11:00,0.0244
5/15/2024 12:00,6.34
5/15/2024 13:00,0.0244
5/15/2024 14:00,1.01
5/15/2024 15:00,8.01
5/15/2024 16:00,0.0244
5/15/2024 17:00,0.863
5/15/2024 18:00,7.73
5/15/2024 19:00,12.5
5/15/2024 20:00,10.8
5/15/2024 21:00,18.3
5/15/2024 22:00,3.11
5/15/2024 23:00,0.0244
5/16/2024 0:00,11.7
5/16/2024 1:00,5.87
5/16/2024 2:00,0.0244
5/16/2024 3:00,0.578
5/16/2024 4:00,14.6
5/16/2024 5:00,8.4
5/16/2024 6:00,1.18
5/16/2024 7:00,0.0244
5/16/2024 8:00,4.3
5/16/2024 9:00,0.0244
5/16/2024 10:00,0.0574
5/16/2024 11:00,0.681
5/16/2024 12:00,4.19
5/16/2024 13:00,7.76
5/16/2024 14:00,0.0244
5/16/2024 15:00,0.454
5/16/2024 16:00,0.492
5/16/2024 17:00,18
5/16/2024 18:00,1.63
5/16/2024 19:00,21.8
5/16/2024 20:00,19.8
5/16/2024 21:00,2.19
5/16/2024 22:00,5.02
5/16/2024 23:00,25.1
5/17/2024 0:00,21.4
5/17/2024 1:00,1.96
5/17/2024 2:00,1.46
5/17/2024 3:00,9.17
5/17/2024 4:00,0.284
5/17/2024 5:00,5.38
5/17/2024 6:00,1.78
5/17/2024 7:00,8.71
5/17/2024 8:00,9.57
5/17/2024 9:00,0.349
5/17/2024 10:00,0.424
5/17/2024 11:00,7.55
5/17/2024 12:00,0.0384
5/17/2024 13:00,2
5/17/2024 14:00,0.0244
5/17/2024 15:00,11.9
5/17/2024 16:00,0.266
5/17/2024 17:00,0.0244
