TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart,PelletGrab
3430956.437,,717.257,738.107,,0,0

3431023.096,,716.291,737.471,,0,0

3431089.75,,716.146,737.755,,0,0

3431156.413,,716.334,738.824,,0,0

3431223.065,,717.15,738.72,,0,0

3431289.723,,716.527,738.93,,0,0

3431356.381,,716.808,738.612,,0,0

3431423.04,,716.85,738.321,,0,0

3431489.696,,716.214,738.558,,0,0

3431556.354,,716.787,738.586,,0,0

3431623.017,,715.929,738.35,,0,0

3431689.675,,715.892,738.107,,0,0

3431756.334,,716.729,738.654,,0,0

3431822.989,,716.157,738.231,,0,0

3431889.646,,716.211,738.362,,0,0

3431956.307,,716.272,738.057,,0,0

3432022.969,,715.647,738.115,,0,0

3432089.628,,715.983,737.921,,0,0

3432156.282,,716.166,737.679,,0,0

3432222.943,,715.76,737.638,,0,0

3432289.602,,716.016,737.329,,0,0

3432356.262,,716.535,737.483,,0,0

3432422.915,,716.181,737.14,,0,0

3432489.576,,716.194,737.615,,0,0

3432556.235,,716.898,737.571,,0,0

3432622.893,,716.622,737.69,,0,0

3432689.556,,716.767,737.753,,0,0

3432756.211,,717.261,737.632,,0,0

3432822.869,,717.103,737.488,,0,0

3432889.532,,716.544,736.921,,0,0

3432956.189,,716.577,736.708,,0,0

3433022.847,,715.947,736.147,,0,0

3433089.508,,716.075,735.689,,0,0

3433156.163,,715.942,735.999,,0,0

3433222.824,,716.003,735.662,,0,0

3433289.479,,716.41,735.819,,0,0

3433356.141,,715.94,735.211,,0,0

3433422.798,,715.901,735.286,,0,0

3433489.457,,716.758,735.854,,0,0

3433556.113,,716.596,735.589,,0,0

3433622.777,,717.611,736.008,,0,0

3433689.435,,717.339,735.745,,0,0

3433756.091,,717.288,735.985,,0,0

3433822.751,,717.014,736.438,,0,0

3433889.411,,717.324,736.064,,0,0

3433956.07,,716.804,736.414,,0,0

3434022.729,,717.032,736.868,,0,0

3434089.385,,716.879,737.119,,0,0

3434156.042,,716.635,736.945,,0,0

3434222.705,,716.765,736.969,,0,0

3434289.358,,716.728,736.868,,0,0

3434356.021,,716.858,736.894,,0,0

3434422.677,,716.74,737.575,,0,0

3434489.335,,717.061,738.532,,0,0

3434555.994,,716.98,739.386,,0,0

3434622.655,,716.976,739.281,,0,0

3434689.314,,717.033,739.303,,0,0

3434755.972,,717.006,739.216,,0,0

3434822.627,,716.425,738.834,,0,0

3434889.286,,717.183,738.703,,0,0

3434955.948,,716.853,738.796,,0,0

