TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,ToneStart_5000,ToneStart_10000,ToneStart_20000,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED
2706782.87,,515.926,475.221,0,0,0,0,0,2706.78287,0,0,-10.088782558686148,4.945578531114222,3.266393357634788,-13.355175916320936,1.63714034305442,-0.5341574802635157,214.561157,121.329323,,0,0,0,0,0,4.227323197705528
2706849.524,,513.165,473.572,0,0,0,0,0,2706.849524,0,0,-11.737272101342683,2.18597418484228,1.4437724850390834,-13.181044586381766,1.6615767446996237,-0.527192873206444,220.053528,124.632935,,0,0,0,0,0,4.2095531632262535
2706916.187,,513.159,472.758,0,0,0,0,0,2706.916187,0,0,-12.550761601729846,2.1813700027350933,1.440731585925728,-13.991493187655575,1.5478439228091645,-0.5596078099659417,232.547577,119.313683,,0,0,0,0,0,3.829425234763153
2706982.847,,513.293,487.233,0,0,0,0,0,2706.982847,0,0,1.9247488482552058,2.3167657335287686,1.5301556678011896,0.39459318045401615,3.5666890365317983,0.015782263020804,240.944427,115.62558,,0,0,0,0,0,3.581281831898313
2707049.502,,512.577,497.099,0,0,0,0,0,2707.049502,0,0,11.791259233303606,1.6021613353519797,1.0581847877997712,10.733074445503835,5.017520892478837,0.42928315113279464,264.79541,112.510727,,0,0,0,0,0,3.1833955425262728
2707116.158,,511.752,494.113,0,0,0,0,0,2707.116158,0,0,8.805769599361895,0.7785569338334426,0.514223268461936,8.291546330899958,4.6748935108505005,0.3316310862059998,272.218109,117.06041,,0,0,0,0,0,3.2775988729362515
2707182.817,,512.868,492.879,0,0,0,0,0,2707.182817,0,0,7.572279961742424,1.8959525708460774,1.2522234871229585,6.320056474619466,4.3982280883539016,0.2527788074644726,264.489502,120.760529,,0,0,0,0,0,3.4569702590769107
2707249.474,,510.248,489.73,0,0,0,0,0,2707.2494739999997,0,0,4.423790282164475,-0.7226518582951371,-0.4772719371294332,4.901062219293909,4.199096125326425,0.19602430264310097,263.645752,122.649185,,0,0,0,0,0,3.5262737357194336
2707316.136,,509.869,493.521,0,0,0,0,0,2707.316136,0,0,8.215300614218961,-1.1002562070349882,-0.7266662274833807,8.941966841702342,4.766169083407134,0.35764549315494387,265.389282,123.951057,,0,0,0,0,0,3.554850238923918
2707382.795,,510.635,490.838,0,0,0,0,0,2707.382795,0,0,5.532810896662056,-0.3328606428643752,-0.21982865321870923,5.752639549880765,4.318600672207451,0.23008423596078317,280.259338,126.120682,,0,0,0,0,0,3.545589069304063
2707449.453,,510.02,487.789,0,0,0,0,0,2707.449453,0,0,2.484321144807666,-0.9464651239085811,-0.6250926673083641,3.10941381211603,3.9476684236021997,0.12436501453692707,339.115173,151.477036,,0,0,0,0,0,4.701987104541696
2707516.112,,510.538,486.673,0,0,0,0,0,2707.5161120000002,0,0,1.3688313739667706,-0.42706960829644913,-0.28205033619805053,1.6508817101648212,3.7429879891958597,0.0660291425616571,358.815613,165.881058,,0,0,0,0,0,5.416842044091195
