TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,Expected_Dispense_RWD,TimeStampAdjusted,ToneStart,PelletGrab,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED,Xpos_cm,Ypos_cm
794030.382,,638.61,719.516,0,0,0,0,0,0,794.030382,0,0,0,0,0,-2.7418543097136308,9.407510466993926,7.758724891397581,-10.500579201111211,1.5739467451813702,-0.376129047027177,367.43976329701655,108.8454367496369,1.9653335743487568,0,0,2.6757423480998868,2.17649839938918,0.15542883587682849
794097.039,,635.95,717.522,0,0,0,0,0,0,794.097039,0,0,0,0,0,-4.726595846637565,6.75308926498883,5.569524681744498,-10.296120528382062,1.5943608567902103,-0.3688053704701812,377.7624044310598,109.34172290517098,6.739189646685656,0,0,2.5948914878032374,2.4329154790483334,0.219655668575093
794163.697,,634.911,718.781,0,0,0,0,0,0,794.1636970000001,0,0,0,0,0,-3.4583384867459017,5.719667500103128,4.7172231921998495,-8.175561678945751,1.806087385421512,-0.2928472957842514,426.4291164806932,119.244722347328,8.39612313404178,0,0,2.473110532436169,3.6038713963264293,0.7121534405220905
794230.352,,636.78,715.375,0,0,0,0,0,0,794.2303519999999,0,0,0,0,0,-6.855082785317336,7.594244837719543,6.26325706859476,-13.118339853912095,1.3125772595137253,-0.4698968098167802,427.8127604889781,120.67784820018773,0.8681917422486194,0,0,2.5044485384351214,3.631386467677498,0.755038750926651
794297.01,,630.315,715.844,0,0,0,0,0,0,794.29701,0,0,0,0,0,-6.376827909013741,1.1348217799771874,0.935929852565246,-7.312757761578987,1.8922337700701213,-0.2619417991449675,422.4711434689828,122.40403824730588,4.272970946459719,0,0,2.551691701271314,3.488752409099394,0.7715400294759445
794363.671,,634.571,721.115,0,0,0,0,0,0,794.363671,0,0,0,0,0,-1.0965738578239552,5.396398326879989,4.450611042907231,-5.547184900731186,2.068516834778422,-0.1986992651009927,412.98903969035,122.19386036932428,1.5230815672166924,0,0,2.573587006379949,3.2519820554447922,0.7187054074972262
794430.325,,630.788,720.105,0,0,0,0,0,0,794.4303249999999,0,0,0,0,0,-2.097322019682452,1.6189736420240024,1.3352279583429525,-3.432549978025404,2.279651890816141,-0.1229533845115158,408.7374326751189,124.41978028738666,1.4512173031619149,0,0,2.642212044644055,3.134180306479088,0.7532082062444841
794496.981,,633.786,718.762,0,0,0,0,0,0,794.496981,0,0,0,0,0,-3.431071145035162,4.622548478383578,3.8123881982099945,-7.243459343245156,1.899152848763628,-0.2594595410190885,402.6010747650537,127.2349180656906,2.693057420596081,0,0,2.737507308819346,2.966150760980467,0.7930353499858497
794563.64,,633.61,721.86,0,0,0,0,0,0,794.56364,0,0,0,0,0,-0.3238210950570419,4.452122919613203,3.6718318808069688,-3.99565297586401,2.2234290498297,-0.1431236427323926,398.580377496094,124.04229618045068,2.107447600205301,0,0,2.6904241117111147,2.88132043617707,0.6927916912277282
794630.296,,636.632,722.473,0,0,0,0,0,0,794.6302959999999,0,0,0,0,0,0.2984272978303579,7.479696464046356,6.168784750685553,-5.870357452855195,2.036249773372264,-0.2102752535991205,395.0496878969348,120.12571276140648,1.7027367649931082,0,0,2.628421520301323,2.8124116537981774,0.5768479707673682
794696.955,,635.414,719.595,0,0,0,0,0,0,794.696955,0,0,0,0,0,-2.570325133704955,6.267269613473559,5.168851087761963,-7.739176221466918,1.849658153609217,-0.2772160393445435,386.8171614038334,118.94807178749414,2.8031195264295183,0,0,2.670495676368565,2.611835352020056,0.5060159898839138
794763.617,,636.049,720.686,0,0,0,0,0,0,794.763617,0,0,0,0,0,-1.4700783896520306,6.907842367898297,5.697155340013034,-7.167233729665065,1.9067635710788304,-0.2567291518809438,386.4715574695209,118.38213039505922,0.6060910523635674,0,0,2.6612619116744822,2.6060059262566964,0.49008779672683217
794830.27,,638.231,729.858,0,0,0,0,0,0,794.83027,0,0,0,0,0,7.711165865805469,9.095413724332843,7.501327062466143,0.2098388033393261,2.643325048393895,0.0075163919644539,388.05293630941327,118.12463794170532,1.0614208845626123,0,0,2.6417076813653617,2.6469607572884883,0.49156185510183126
794896.926,,641.214,739.42,0,0,0,0,0,0,794.896926,0,0,0,0,0,17.282409297320783,12.08398468600558,9.966113047039704,7.316296250281079,3.3528670479036,0.2620685472374245,389.488024018554,118.74590610278368,0.3600498872458929,0,0,2.6425902133484933,2.679838458925072,0.5143426681272587
794963.588,,638.809,743.83,0,0,0,0,0,0,794.963588,0,0,0,0,0,21.70165232084309,9.684555503609545,7.987214270469792,13.714438050373303,3.991687495345769,0.4912489507106698,392.4939948194516,120.66394084485852,1.5835865950607153,0,0,2.659898209639979,2.7456114439867143,0.57752791506251
795030.246,,637.717,750.496,0,0,0,0,0,0,795.030246,0,0,0,0,0,28.376893549944725,8.598125341525929,7.0911947778548745,21.28569877208985,4.747637631036503,0.762450284038281,393.8055405041772,123.48349625259664,0.8042516057397503,0,0,2.711300532444167,2.76436373504095,0.6548251954835229
795096.904,,636.545,750.55,0,0,0,0,0,0,795.096904,0,0,0,0,0,28.44013353946184,7.431694534137364,6.129195767994661,22.31093777146718,4.850002295150067,0.7991741790182915,395.66568013189874,124.8232760535867,1.130915473864475,0,0,2.727358944348265,2.804298224962672,0.697759398115366
795163.561,,636.44,751.784,0,0,0,0,0,0,795.163561,0,0,0,0,0,29.683372150983587,7.332262998000715,6.047190870056062,23.636181280927524,4.982320814828871,0.8466441869812352,396.6824206099128,124.32505434577818,0.3482956242347942,0,0,2.7092896631664294,2.8322986432835604,0.6903633495914929
795230.22,,635.293,756.392,0,0,0,0,0,0,795.2302199999999,0,0,0,0,0,34.300609800458346,6.1908309838094056,5.105809297725042,29.194800502733305,5.537319395570458,1.0457530276119982,397.279197029511,125.54316925424752,0.5792212480384986,0,0,2.732237521903768,2.841156472127717,0.7239088835743941
795296.878,,634.095,753.637,0,0,0,0,0,0,795.296878,0,0,0,0,0,31.55484607229505,4.998398241051859,4.122365521556391,27.43248055073866,5.361361116519305,0.9826270122365244,398.6757265547581,125.55511667465436,0.5598636314460927,0,0,2.723318479687169,2.876123485934242,0.7312136561606648
795363.53,,629.743,752.519,0,0,0,0,0,0,795.3635300000001,0,0,0,0,0,30.446080274057408,0.6519643523218974,0.5376993151294318,29.90838095892797,5.608566610864389,1.0713133640301378,399.2997581521536,122.56293395437034,0.993577538637296,0,0,2.6527106037080523,2.9067841347164136,0.6592956627123189
795430.19,,634.14,753.467,0,0,0,0,0,0,795.4301899999999,0,0,0,0,0,31.403314345477384,5.054530486821932,4.168659879104212,27.23465446637317,5.341609233601006,0.975540913920954,398.8936533911052,120.81466944736394,0.7232443126785579,0,0,2.616525301773834,2.9053678985449314,0.6134096498839575
795496.846,,634.596,751.568,0,0,0,0,0,0,795.496846,0,0,0,0,0,29.51354662432277,5.516095642580581,4.549329885428797,24.96421673889397,5.114918095724547,0.8942142020876744,398.2406634334462,122.0645678459623,0.3531580343165636,0,0,2.6486167676389774,2.8827203836157778,0.6414834213953878
795563.509,,630.601,743.644,0,0,0,0,0,0,795.563509,0,0,0,0,0,21.598778634258903,1.5266607380426649,1.2590940619602031,20.339684572298705,4.6531831420177525,0.7285642085536098,399.1917869097519,122.23430021261264,0.209530109625154,0,0,2.646095963844691,2.9057245182830114,0.650511468714156
795630.165,,633.013,745.313,0,0,0,0,0,0,795.630165,0,0,0,0,0,23.277008436635583,3.944224604564738,3.252949189187927,20.024059247447656,4.621669631135183,0.7172585605145659,399.7818439498504,122.1236027531131,0.2276397270258832,0,0,2.639817867524037,2.92107925468355,0.650694797029482
795696.818,,631.993,738.196,0,0,0,0,0,0,795.696818,0,0,0,0,0,16.16923658578662,2.929787576268268,2.4163051202854744,13.752931465501144,3.9955308582226574,0.4926277786087847,399.978026813713,121.63506247283662,0.4279539012935252,0,0,2.627684905165701,2.9284503602276093,0.6394255836459374
795763.476,,629.271,740.653,0,0,0,0,0,0,795.763476,0,0,0,0,0,18.63546418943997,0.2133503209081482,0.1759579574268797,18.45950623201309,4.465457329408376,0.6612165247898485,398.7469753735304,121.12171643024986,1.070732955672184,0,0,2.624387756245432,2.9001488310903776,0.6203750743488107
795830.135,,631.623,738.594,0,0,0,0,0,0,795.830135,0,0,0,0,0,16.585690693878973,2.5709125046807912,2.1203274580496903,14.465363235829283,4.066663383339009,0.5181469692851476,393.67647350234574,121.36802814245532,1.802046263792288,0,0,2.6659731778596667,2.771737924585021,0.6011188406245256
795896.792,,626.791,733.105,0,0,0,0,0,0,795.896792,0,0,0,0,0,11.10591568406926,-2.25552612263607,-1.8602165666960568,12.966132250765316,3.9169731391052967,0.4644447581132103,386.7634947740484,121.53513161880198,2.670977899785589,0,0,2.7262114309080063,2.5975123982260246,0.5706339267285173
795963.449,,629.272,738.899,0,0,0,0,0,0,795.963449,0,0,0,0,0,16.909139437035037,0.2310346059429093,0.1905428471483828,16.718596589886655,4.291636755984454,0.5988574232477025,375.7006057360254,120.60507281462576,4.059199233895998,0,0,2.814154664233014,2.324704691791517,0.4918143119137589
796030.106,,629.872,733.362,0,0,0,0,0,0,796.030106,0,0,0,0,0,11.38136195295499,0.8365946905083774,0.6899708441395386,10.69139110881545,3.689852328170069,0.3829638986702786,330.90364959338035,110.9494053175692,11.449612179674904,0,0,3.2564036401449643,1.2495671077782187,0.024931010586365793
796096.769,,628.33,734.028,0,0,0,0,0,0,796.096769,0,0,0,0,0,12.056584061987335,-0.6998453684553851,-0.5771886016417441,12.63377266362908,3.883788801089686,0.4525396915082493,333.96821994955894,113.08992346645944,2.2878623610746023,0,0,3.241240284129584,1.3156938566386707,0.09399039771678427
796163.423,,629.453,731.453,0,0,0,0,0,0,796.163423,0,0,0,0,0,9.490803689305269,0.4287131781298967,0.3535757416071741,9.137227947698092,3.5346773981663584,0.3272940258451723,367.0601703620265,118.84737862969112,8.774887723318642,0,0,2.876754622866552,2.1168070538539165,0.40438766636392415
796230.081,,624.855,737.908,0,0,0,0,0,0,796.230081,0,0,0,0,0,15.9550226333954,-4.163728585449576,-3.4339823384945585,19.38900497188996,4.55826283754771,0.6945110191741061,382.3838596945921,123.39452924207428,3.5717568817691747,0,0,2.805627774265317,2.478338031559357,0.5953016260044715
796296.743,,632.609,736.365,0,0,0,0,0,0,796.296743,0,0,0,0,0,14.42124089421327,3.595829340780824,2.9656146154805776,11.455626278732693,3.7661571473584368,0.4103386787333827,384.1979494279171,122.82786708798837,0.4594664926986685,0,0,2.776684724697159,2.526680404449535,0.5901885675722481
796363.396,,631.907,740.022,0,0,0,0,0,0,796.363396,0,0,0,0,0,18.087456674389955,2.8993858731128057,2.391231701315089,15.696224973074866,4.189558384777604,0.5622362374469843,387.9188273718747,124.1899078727812,2.072453853618528,0,0,2.7736508338645374,2.6131731899453285,0.6430147335247733
796430.054,,636.141,739.431,0,0,0,0,0,0,796.430054,0,0,0,0,0,17.505671909925695,7.138942178805905,5.887751977090661,11.617919932835036,3.7823613059985575,0.4161520111493329,392.610913462506,125.32925069503314,1.274602698501286,0,0,2.7607075739192184,2.7251423270311013,0.6951269834803058
796496.711,,633.968,734.096,0,0,0,0,0,0,796.496711,0,0,0,0,0,12.17988577140818,4.971497757760517,4.100179689248884,8.079706082159298,3.42908946147611,0.2894137638255862,391.5798824111423,123.48245053689908,0.7971638152797884,0,0,2.7282614440057755,2.7085463157553002,0.6436348716680269
796563.372,,633.549,735.188,0,0,0,0,0,0,796.563372,0,0,0,0,0,13.281098950072646,4.558053026752759,3.759196392732701,9.521902557339946,3.573085113082509,0.3410730080869167,389.11867226326905,121.60652730025863,1.2080134899506694,0,0,2.707541675270001,2.6562254662584346,0.5842384081860511
796630.026,,634.965,726.513,0,0,0,0,0,0,796.6300259999999,0,0,0,0,0,4.6153099258767725,5.979607069219469,4.931605053969477,-0.3162951280927046,2.5907933721676706,-0.0113296402827244,384.6289072278653,118.58134746079767,2.082775709381162,0,0,2.6825698541939413,2.5587903519923554,0.485841548680896
796696.685,,629.261,724.4,0,0,0,0,0,0,796.696685,0,0,0,0,0,2.511520357345148,0.2811608851975506,0.2318838600104323,2.279636497334716,2.849983345491006,0.0816562102802997,380.628527347912,114.0192467965178,2.1260790007154604,0,0,2.626347114380205,2.4813390415599317,0.3513513317294488
796763.345,,632.889,725.489,0,0,0,0,0,0,796.763345,0,0,0,0,0,3.609729691799771,3.9147141414240414,3.228610809112538,0.3811188826872329,2.6604264538246687,0.0136516166778725,379.21956644060674,110.73801058867312,0.7810534837890414,0,0,2.5735854162112446,2.4624592697243353,0.26198579812241896
796829.998,,634.742,722.58,0,0,0,0,0,0,796.829998,0,0,0,0,0,0.709936824354827,5.773266171618502,4.761428016524621,-4.051491192169794,2.217853900756837,-0.145123758600722,381.9159007578788,111.54984224222606,1.255322367257344,0,0,2.561692432814125,2.526014943698517,0.29587273744653064
796896.661,,633.196,721.928,0,0,0,0,0,0,796.896661,0,0,0,0,0,0.0671441034054396,4.23281839188644,3.4909632538857247,-3.423819150480285,2.2805236175351133,-0.1226406476822982,383.45663297307226,113.91748968993886,1.8789043309160656,0,0,2.595551360192726,2.5527823681854027,0.36298514436205886
796963.316,,635.041,719.669,0,0,0,0,0,0,796.963316,0,0,0,0,0,-2.182650957028045,6.083369303107588,5.017181639934942,-7.199832596962987,1.9035087474684709,-0.2578968380300694,377.0358629767766,115.85593058029669,6.913404071205013,0,0,2.713151828698212,2.38201695210831,0.3793968496121519
797029.976,,631.985,714.645,0,0,0,0,0,0,797.029976,0,0,0,0,0,-7.197446561406537,3.0329199880329725,2.501362268445221,-9.698808829851757,1.6539992546938127,-0.3474097621286324,383.6777776617244,116.70471440377204,17.851003343582263,0,0,2.6519219945184824,2.5443480278319535,0.43400197825410725
797096.635,,632.929,716.912,0,0,0,0,0,0,797.096635,0,0,0,0,0,-4.921243538141425,3.982469947083701,3.2844915502109333,-8.205735088352359,1.8030747308883304,-0.2939281024243715,378.8040918130687,116.6978000927468,2.1022035026283548,0,0,2.700693568380284,2.4221437504811636,0.4093817227623164
797163.288,,633.025,715.42,0,0,0,0,0,0,797.163288,0,0,0,0,0,-6.404042577166933,4.084018764156895,3.3682426487399573,-9.772285225906892,1.6466630271341636,-0.3500416747401086,372.8230532062829,115.82253140565275,2.293357901572809,0,0,2.748226886775711,2.276521235421684,0.3574273283879077
797229.947,,631.408,715.386,0,0,0,0,0,0,797.229947,0,0,0,0,0,-6.428842021791866,2.472567438334977,2.039218612287016,-8.468060634078881,1.7768829196199225,-0.3033245610039667,356.05461767438453,112.67779989663468,8.878937532718863,0,0,2.9124600873982747,1.871719315004917,0.19444105746269078
797296.606,,631.619,718.475,0,0,0,0,0,0,797.296606,0,0,0,0,0,-3.330642700150406,2.6891154701835376,2.217813854204437,-5.548456554354844,2.0683898669239675,-0.1987448155279219,322.8529194861987,112.27093227563252,20.42029456214018,0,0,3.4276889197823026,1.041014472380406,0.01769361602840397
797363.264,,630.647,722.261,0,0,0,0,0,0,797.363264,0,0,0,0,0,0.4645552499576979,1.722662776577522,1.4207442565596196,-0.9561890066019216,2.5269033699518912,-0.0342505354174162,266.7794420455108,111.39406841454502,16.671575232690792,0,0,4.446811519909736,-0.36098952214349667,-0.285568844787167
797429.921,,628.908,722.94,0,0,0,0,0,0,797.4299209999999,0,0,0,0,0,1.152751828765986,-0.010790642363645,-0.008899458350163,1.1616512871161488,2.738358465246048,0.0416101610427978,298.22049701866314,114.04253298790944,19.03279434628661,0,0,3.8799222509264304,0.4143118426101724,-0.06143050990152346
797496.579,,631.174,726.86,0,0,0,0,0,0,797.496579,0,0,0,0,0,5.081947312389389,2.2607553798721938,1.864529304334116,3.2174180080552723,2.9436158442694578,0.1152473921752662,284.33258517819274,113.97380086668876,8.283492878967039,0,0,4.137035489129809,0.06632806364884475,-0.13281739032199505
797563.239,,629.322,728.157,0,0,0,0,0,0,797.563239,0,0,0,0,0,6.388141838873139,0.4143009265332011,0.3416894199513549,6.046452418921784,3.226079891589101,0.2165829467753122,260.393606054264,132.45271211747462,12.308675803900927,0,0,4.836672791047655,-0.6267873544609197,0.21057992352553423
