TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED,Xpos_cm,Ypos_cm
2756577.762,,451.845,569.071,0,0,0,0,0,2756.577762,0,0,0,0,0,76.14351735221447,1.3917127475847906,0.5880145451554798,75.555502807059,21.40342258960067,4.325370187939015,63.08818088024479,44.27360375035418,1.590547910393048,0,0,7.351820249982256,-10.862922081206541,-1.874147220743866
2756644.423,,455.985,577.907,0,0,0,0,0,2756.644423,0,0,0,0,0,84.98065055758872,5.532780740645592,2.336703718934923,82.64394683865379,23.087763939382874,4.731166501298601,64.09184202403063,43.35153324357432,2.080521710259351,0,0,7.314796256197344,-10.82643875735557,-1.9022877383182737
2756711.076,,452.697,574.658,0,0,0,0,0,2756.711076,0,0,0,0,0,81.73278360869739,2.2458485793611658,0.9486988141574152,80.78408479453998,22.645827382949832,4.624693887916195,63.53519170605608,44.9883036689063,0.870674112337043,0,0,7.340861506995449,-10.849942620881034,-1.8487766160304795
2756777.734,,457.06,576.033,0,0,0,0,0,2756.777734,0,0,0,0,0,83.10891672653258,6.609916472005068,2.7915563306948923,80.3173603958377,22.53492530060531,4.597975042496216,63.07715975895788,45.45995288821296,0.4006880998223326,0,0,7.3580267185826385,-10.866739930418142,-1.8342216204106867
2756844.391,,456.436,592.968,0,0,0,0,0,2756.844391,0,0,0,0,0,100.04504980909928,5.986984322452713,2.528504695767205,97.51654511333209,26.62175985457728,5.582586858579004,63.033241398631255,46.01754971028685,0.7135632078802033,0,0,7.362310917388421,-10.86983911203669,-1.815568704554674
2756911.053,,459.633,591.772,0,0,0,0,0,2756.911053,0,0,0,0,0,98.85018295838898,9.185052226823018,3.878984023987632,94.97119893440136,26.01693998161588,5.436871932844928,63.08122276898367,46.19119466808281,0.5765854832545243,0,0,7.36166563439894,-10.868727526275396,-1.8095807422646435
2756977.708,,456.356,579.274,0,0,0,0,0,2756.977708,0,0,0,0,0,86.3533159704217,5.909119992881472,2.495624165823483,83.85769180459822,23.37617149753217,4.800650471312848,62.55677305292807,46.61166160401225,0.6211406039525126,0,0,7.380778149706104,-10.887613166050004,-1.7969425859661814
2757044.367,,458.838,567.219,0,0,0,0,0,2757.044367,0,0,0,0,0,74.29944903217933,8.392187796842734,3.544173427468896,70.75527560471043,20.26280257070408,4.050568765607238,63.543658540147234,44.8149917659459,2.8811357709947334,0,0,7.33974548224393,-10.849153933038194,-1.8545893643008071
2757111.024,,453.392,558.915,0,0,0,0,0,2757.1110240000003,0,0,0,0,0,65.996582041674,2.947255542592813,1.2448887741078485,64.75169326756615,18.83624380375856,3.706878166019368,62.30123101190412,46.358943736594085,0.5785697407153443,0,0,7.387697918580748,-10.895485909882238,-1.8061968322385937
2757177.682,,457.738,545.411,0,0,0,0,0,2757.177682,0,0,0,0,0,52.49371504989983,7.294323278188528,3.080567468507526,49.41314758139231,15.191530432306076,2.828783443961368,63.45547753615401,44.82837171904698,1.3216284059059622,0,0,7.34262623026998,-10.852162844022471,-1.8543949000836948
