TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,ToneStart_5000,ToneStart_10000,ToneStart_20000,ToneStart,PelletGrab,Xpos,Ypos,Speed_cm,DistFromFED,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED_orig,Xpos_cm,Ypos_cm
1635856.094,,538.55,605.917,0,0,0,0,0,1635.856094,61.997245500799295,9.202254206627458,0.715997908356015,61.28124759244328,12.812212823069812,2.738214239213265,0,0,0,0,0,527.8713763949728,114.35987578657515,1.9128981398094342,10.681720873388572,0,0,8.408386979633914,10.223764478449782,3.0941558955834094
1635922.752,,539.87,606.223,0,0,0,0,0,1635.9227520000002,62.30493447671495,10.524566111189529,0.8188824596062555,61.48605201710869,12.843848160336973,2.7473654626936086,0,0,0,0,0,531.4317327031282,115.38583163791608,1.9512032680082307,10.811760428686659,0,0,8.530779929142273,10.34308609703929,3.1487669898783053
1635989.418,,539.358,605.585,0,0,0,0,0,1635.9894180000001,61.66862360816776,10.014878244330703,0.7792253958843421,60.889398212283425,12.751685384175182,2.7207053340500336,0,0,0,0,0,530.6667863272859,117.08092903239974,0.5767378825779461,10.793931161286249,0,0,8.52666028198956,10.307401521371396,3.20412605741674
1636056.073,,542.037,600.679,0,0,0,0,0,1636.0560730000002,56.764312413756784,12.696189947090943,0.9878490574794241,55.77646335627736,11.961910364133361,2.492245379709743,0,0,0,0,0,530.1518640527032,115.59742429719603,0.8976014372115908,10.76802599631694,0,0,8.493437946995453,10.297148050507747,3.14946438037993
1636122.732,,544.824,603.41,0,0,0,0,0,1636.122732,59.4970012735414,15.485501739703068,1.2048758354202496,58.292125438121154,12.350494832165998,2.6046520620828835,0,0,0,0,0,529.5402566510774,115.47228773701349,0.1802252604278995,10.745948343844379,0,0,8.473006885978933,10.276382589254816,3.14187311771692
1636189.393,,545.202,595.137,0,0,0,0,0,1636.1893929999999,51.22569013684665,15.86581355279975,1.234466592404757,49.991223544441894,11.068287030956734,2.2337449957850404,0,0,0,0,0,529.328673600106,113.81849843325641,0.541324165641067,10.730047532626266,0,0,8.447445569911874,10.27764699675029,3.0828383451956665
1636256.054,,544.358,587.581,0,0,0,0,0,1636.256054,43.67137895300402,15.024125317019639,1.1689777193695234,42.5024012336345,9.911517982029793,1.8991238728149618,0,0,0,0,0,530.057830427791,114.13262454950751,0.3668034079700243,10.757194078132706,0,0,8.473699903114982,10.301538315874204,3.097665695518003
1636322.711,,538.314,576.589,0,0,0,0,0,1636.3227109999998,32.68106762068351,8.982436893650402,0.6988946776245575,31.98217294305895,8.286499525306471,1.4290512154074384,0,0,0,0,0,530.2370971017376,114.63092221097969,0.3478115351812823,10.76601322153992,0,0,8.48496476843847,10.305203328416173,3.116059217404668
1636389.365,,537.45,571.133,0,0,0,0,0,1636.389365,27.226756165229972,8.12074831737948,0.6318496467349253,26.594906518495048,7.454349582415524,1.188333374082102,0,0,0,0,0,530.666392697964,114.40905480804118,0.275484406791875,10.779927169406387,0,0,8.495773724932814,10.321403484080198,3.110540129386399
1636456.028,,534.891,568.538,0,0,0,0,0,1636.4560279999998,24.633444890636042,5.5640600043367385,0.43292250339860855,24.200522387237434,7.084498444368957,1.0813457232111634,0,0,0,0,0,530.8717551985221,116.12445120563298,1.5271572819372505,10.796007824623493,0,0,8.521879460145556,10.319598028380343,3.171700093322224
