TimeStamp,Events,UV,Fluorescence,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,TimeStampAdjusted,ToneStart,PelletGrab,ToneStart_5000,ToneStart_10000,ToneStart_20000,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Dispense_Bonsai,Retrieval_Bonsai,DistFromFED
521265.994,,547.722,542.103,0,0,0,0,0,521.265994,0,0,0,0,0,-26.687463402058597,-4.256356298232049,-1.9218620017806416,-24.765601400277955,-2.5021632555860704,-1.2425223237473235,212.73689709217237,120.40018158707932,7.1357135499259785,0,0,4.377621940739744
521332.653,,544.955,541.921,0,0,0,0,0,521.3326529999999,0,0,0,0,0,-26.868080273779128,-7.02126190049546,-3.1701378538454774,-23.69794241993365,-2.177396785892778,-1.1889564887899613,200.0757538307116,115.33587989121688,6.451805734925849,0,0,4.485316073772939
521399.308,,546.209,541.356,0,0,0,0,0,521.399308,0,0,0,0,0,-27.431697247182456,-5.765167648096735,-2.6030472009482493,-24.828650046234205,-2.521341744732062,-1.2456855560394253,203.90347929717768,115.17610681714267,4.795397283353282,0,0,4.4051565912066195
521465.972,,545.388,542.953,0,0,0,0,0,521.465972,0,0,0,0,0,-25.833314052532728,-6.5840731325870365,-2.972759620994665,-22.860554431538063,-1.922675432200702,-1.1469436479789281,215.83062240111477,118.33920235605174,4.37411724676548,0,0,4.267164863526135
521532.625,,547.153,546.172,0,0,0,0,0,521.532625,0,0,0,0,0,-22.61293110480392,-4.816978982345063,-2.1749671197727953,-20.437963985031125,-1.1857583441516406,-1.0253991450843574,222.13309185636007,115.93992392450895,3.176863057484825,0,0,4.095475995239633
521599.284,,547.238,545.042,0,0,0,0,0,521.599284,0,0,0,0,0,-23.741548051269888,-4.729884663250687,-2.1356465240575053,-21.60590152721238,-1.541028106669019,-1.0839960854714585,224.89815036298802,118.43105498429071,1.8096143804686247,0,0,4.119743888416295
521665.941,,548.306,542.556,0,0,0,0,0,521.665941,0,0,0,0,0,-26.226165057917342,-3.659790426652762,-1.6525295619863767,-24.573635495930965,-2.4437699950000478,-1.2328911454975273,228.58899395723537,117.39602530829195,2.925906525350135,0,0,4.033956201703961
521732.601,,546.65,541.323,0,0,0,0,0,521.732601,0,0,0,0,0,-27.457782021007006,-5.313696115460971,-2.3992207080572867,-25.05856131294972,-2.591277437503392,-1.2572205023045238,226.02535220924335,116.40934808082808,2.3282486201681016,0,0,4.045873308208132
521799.259,,545.807,541.373,0,0,0,0,0,521.799259,0,0,0,0,0,-27.406399044277123,-6.15460188676434,-2.7788656287810385,-24.627533415496085,-2.4601649651012054,-1.2355952739852953,222.09934289274534,113.00905387329031,2.2848605962015087,0,0,4.016110941584608
521865.916,,545.05,539.618,0,0,0,0,0,521.865916,0,0,0,0,0,-29.1600161069789,-6.90950770914435,-3.1196840306421008,-26.0403320763368,-2.8899179498236154,-1.3064772140877154,220.00140627169247,109.37547855045018,3.000410799268184,0,0,3.9543370382921377
521932.573,,544.058,538.99,0,0,0,0,0,521.9325729999999,0,0,0,0,0,-29.78663318836459,-7.899413551182647,-3.5665982245381826,-26.220034963826407,-2.9445809774739518,-1.3154931408862944,218.9723139796364,109.35639594836425,0.8910648640768188,0,0,3.972024592626178
521999.23,,543.928,540.969,0,0,0,0,0,521.99923,0,0,0,0,0,-27.806250288433944,-8.027319412879365,-3.624344065250739,-24.181906223183205,-2.324611597676603,-1.2132375801191824,218.5730949569876,105.73365489608092,4.190427267930908,0,0,3.884122471834987
522065.891,,545.247,549.016,0,0,0,0,0,522.065891,0,0,0,0,0,-19.757867324202493,-6.706225168569631,-3.0279077738548583,-16.729959550347637,-0.057836852337015986,-0.8393637562326012,218.87809371453739,106.20831236200485,0.962497798412062,0,0,3.8905757305725492
522132.544,,545.318,551.713,0,0,0,0,0,522.1325439999999,0,0,0,0,0,-17.05948454462282,-6.633131195247188,-2.994907934093535,-14.064576610529285,0.7529342119089695,-0.7056380392378021,219.35843485806305,105.31678314545344,0.5073727130392718,0,0,3.858410418050008
522199.203,,546.343,554.583,0,0,0,0,0,522.199203,0,0,0,0,0,-14.188101659250492,-5.606037053086652,-2.531204285619355,-11.656897373631137,1.4853155249655874,-0.5848416510574087,220.9087934757264,103.89381113544493,1.1639570345454768,0,0,3.792814710090297
522265.863,,543.554,554.889,0,0,0,0,0,522.265863,0,0,0,0,0,-13.88071877181676,-8.392942899169611,-3.789412618951182,-10.091306152865577,1.9615458036514601,-0.5062939101718512,221.41077335642132,104.60626225568602,0.8236104762014573,0,0,3.8025715251332954
522332.521,,545.411,553.653,0,0,0,0,0,522.332521,0,0,0,0,0,-15.115335944556932,-6.5338488277417355,-2.950084782883082,-12.16525116167385,1.3306816314309653,-0.6103464195383186,222.51359411227554,105.41496998700491,0.8312651406941238,0,0,3.8044137247405505
522399.177,,544.889,553.588,0,0,0,0,0,522.399177,0,0,0,0,0,-15.178953177469339,-7.053754838801069,-3.1848074867675997,-11.994145690701739,1.3827294489231206,-0.6017618362705057,221.54769936495163,109.0002752876367,2.61770776498403,0,0,3.9172112297120534
522465.831,,546.542,553.211,0,0,0,0,0,522.465831,0,0,0,0,0,-15.554570470551766,-5.39866093234582,-2.4375798943910425,-13.116990576160724,1.0411762224930057,-0.658096419620161,219.85758826196175,107.0375464603283,1.468886340742558,0,0,3.8947561567640947
522532.49,,546.943,551.698,0,0,0,0,0,522.5324899999999,0,0,0,0,0,-17.06618767859368,-4.995566888474968,-2.255594454937616,-14.810593223656063,0.5260067132992557,-0.7430666597148315,218.6109535499459,107.19619812704538,0.40243851764049626,0,0,3.921408760670389
522599.148,,545.506,550.424,0,0,0,0,0,522.599148,0,0,0,0,0,-18.338804926061812,-6.430472895675848,-2.9034135042770757,-15.435391421784736,0.3359521089615086,-0.7744135951865163,218.9250679603023,105.05057211144356,1.4778127410212236,0,0,3.8593722562198134
522665.805,,547.979,552.61,0,0,0,0,0,522.665805,0,0,0,0,0,-16.15142221295514,-3.9553789539472746,-1.785979333460345,-14.365442879494795,0.6614150303907184,-0.7207328899385816,226.18246385317076,107.38568101861122,3.3147791322733315,0,0,3.7946133927935564
522732.466,,545.479,550.465,0,0,0,0,0,522.732466,0,0,0,0,0,-18.295039435556305,-6.453284906222052,-2.9137124750189933,-15.381326960537312,0.3523977386414403,-0.7717011110866736,224.76014393214768,108.91391522426458,0.7707511804708619,0,0,3.85996239071278
522799.126,,544.412,553.622,0,0,0,0,0,522.799126,0,0,0,0,0,-15.136656697583362,-7.518190909568375,-3.3944870980686552,-11.742169599514707,1.4593769431965613,-0.5891198691609582,222.76289203790117,107.23907210940995,1.6212172849428779,0,0,3.848834064671389
522865.784,,544.368,557.94,0,0,0,0,0,522.865784,0,0,0,0,0,-10.817274019777756,-7.560096995397544,-3.413406498048273,-7.403867521729483,2.779025891225848,-0.37146163055476633,225.03509007093066,106.80085629606486,0.956653519464466,0,0,3.798001725045119
522932.441,,544.885,561.938,0,0,0,0,0,522.932441,0,0,0,0,0,-6.817891381395498,-7.041003132295714,-3.179050455753513,-3.638840925641985,3.924292702467739,-0.182565365952502,224.4357709298326,107.20928727996771,1.218618251392808,0,0,3.819232670203657
522999.096,,545.565,563.786,0,0,0,0,0,522.999096,0,0,0,0,0,-4.968508803177315,-6.358909351673219,-2.871104609610461,-2.0974041935668537,4.393175533922186,-0.10522948707390643,223.19240164854455,106.4445956034899,1.0044225258329238,0,0,3.8200730852435747
523065.751,,549.056,569.332,0,0,0,0,0,523.065751,0,0,0,0,0,0.5788737563623272,-2.865815590705097,-1.294072617181724,1.8729463735440512,5.6008989370537225,0.0939681472982101,222.12757982774846,105.83436541095124,3.7377536644392984,0,0,3.822412939438679
523132.413,,553.114,571.215,0,0,0,0,0,523.132413,0,0,0,0,0,2.4632564424150587,1.1942783704892008,0.5389437594801904,1.9243126829348682,5.616523827837342,0.09654526162202723,221.4186771990489,108.10255509276483,1.1924280228094768,0,0,3.8954284110510122
523199.071,,556.52,569.121,0,0,0,0,0,523.199071,0,0,0,0,0,0.37063902682041316,4.60237218638099,2.0776007062007604,-1.7069616793803473,4.51194251784212,-0.08564048004049273,221.652969841861,110.50630976543147,0.8462091577013897,0,0,3.9558686448382097
523265.726,,549.722,564.782,0,0,0,0,0,523.265726,0,0,0,0,0,-3.966978469676519,-2.1935341116153495,-0.9905567447225772,-2.976421724953942,4.1257910734130485,-0.14933093601757969,221.6045215764594,109.26173630913704,1.2886225663560977,0,0,3.9232507217919523
523332.388,,547.465,561.943,0,0,0,0,0,523.3323879999999,0,0,0,0,0,-6.804595839665808,-4.448440209391038,-2.0085823974692496,-4.796013442196559,3.5722975055497694,-0.24062221105014578,219.82056480699475,108.76185750736472,0.825939915824644,0,0,3.941149908234237
523399.041,,544.403,559.926,0,0,0,0,0,523.399041,0,0,0,0,0,-8.82021341500058,-7.5083466095168205,-3.3900426779681005,-5.43017073703248,3.379395998921039,-0.27243870453501634,220.23947840077437,110.21107326112408,1.1272203292485325,0,0,3.972439797475591
