Time,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,SHAM_68b,SHAM_6d2,SHAM_6d3
193,0.29,6.22,20.6,33.8,11.5,0.34,0.42,2.04,13.9,3.38,0.49
194,4.26,14.9,9.37,42.6,20.4,1.08,1.88,4.63,14.4,1.07,4.1
195,14.7,6.24,24.9,9.98,11.7,1.46,0.23,0.18,3.6,7.78,2.48
196,32.4,37.9,41.3,38.7,48.4,5.36,2.03,4.08,27.5,23.2,7.35
197,27.1,18.8,48.5,40.4,21.6,13.6,5.28,8.44,20.7,14.3,8.79
198,13.5,51,45,42.6,17.7,16,68.6,19.8,18.1,23.7,17.5
199,26.9,34.1,43,27,29.6,38.7,27.5,27.6,22.1,13.6,15.4
200,48.5,62.7,39.8,36.2,50.4,14.6,33,2.68,33.6,33.9,20.9
201,57.3,58,46.2,21.3,36.4,21.8,1.94,45.7,27.9,8.84,26.2
202,56.9,60.7,41.3,40.7,27.3,29.6,27,7.35,5.39,36,11
203,51.5,22.5,27.2,42.1,19.9,22.7,6.02,3.92,17.5,9.59,15.4
204,17.3,53.6,10.9,60,33.3,0.23,2.66,20,33.7,1.73,21
205,44.4,58.5,16.8,23.7,24,11.1,2.78,4.71,0.92,39.2,1.17
206,47,29.6,40.9,12,33.8,5.93,2.54,2.76,13.5,11.9,17.4
207,42.6,62.9,41.9,44.6,38,0.04,1.67,3.86,28.9,30.5,27.2
208,3.87,13.7,35.2,41.6,7.36,3.41,1.65,2.93,14.4,34.8,0.98
209,23.3,6.32,12,16.3,17.9,6.25,42.5,18.5,2.89,4.66,11.4
210,6.62,2.04,12.3,1.99,11.6,0.68,46.5,1.98,2.39,6.11,9.15
211,4.42,0.45,16.3,2.93,8.53,9.43,0.06,2.07,17.1,7.85,0.48
212,25.6,6.72,3.52,24.9,1.95,0.02,1.82,0.77,13.1,0.04,0.95
213,1.25,1.05,15.8,4.19,16.3,0.7,26.4,2.25,2.28,2.04,0.23
214,15,3.12,2.42,3.33,14,1.82,0.72,1.23,0.35,7.28,6.36
215,3.25,1.75,21.8,26.4,6.58,1.36,0.02,12.9,4.2,0.02,0.23
216,13.1,22.8,5.1,6.24,12,1.93,2.11,0.25,7.87,8.23,1.31
217,18.8,5.82,33,39.2,10.2,1.41,8.56,3.4,4.16,2.96,2.31
218,22.5,0.15,16.8,8.2,3.54,0.38,0.02,0.72,10.7,4.92,10.3
219,14.7,3.62,19,21.6,16.8,5.35,9.13,11.1,13.9,17.8,0.7
220,39.8,24.6,45.2,46.7,27.2,4.24,6.04,3.09,30.9,26,17.5
221,28.7,13.7,43.4,46,21.4,5.24,4.48,12.7,17.5,32.8,6.3
222,6.62,43.3,28.3,36.1,27.4,27.7,36.3,13.4,31.7,11.7,21.7
223,48.9,15.7,45.6,46.5,9.81,14.1,33.6,15.8,34,38,14.4
224,35.1,56.6,45,21.1,38,29.7,7.48,18.4,33.4,15.9,21.7
225,38.7,48.8,46.4,33.8,36.3,15.6,3.31,28.3,22.8,22.5,18.9
226,2.07,36.5,34.8,41,31.8,19.4,17.5,14.8,12.4,16.9,24.9
227,31.3,10.1,43.8,18.4,29.2,7.34,12.8,18.2,43.2,43.5,30.3
228,55.6,28.2,39.8,18.6,7.58,11.9,53.7,6.35,50.1,28.6,1.07
229,2.92,36.9,37,29.1,1.17,1.99,3.25,27.1,51.3,2.12,3.22
230,33.2,37.8,40,47.1,28,0.11,4.06,9.17,38.9,39,14.9
231,55.7,33.3,14.6,41.7,34.2,2.17,0.44,4.42,34.9,21.6,28.3
232,58.6,9.24,5.81,6.04,38.7,0.11,3.29,3.93,8.21,8.68,0.13
233,34.7,2.47,21,17.7,10.6,6.45,0.79,3.5,8.04,0.53,3.02
234,2.47,0.49,10.4,1.22,4.36,2.52,1.57,5.64,25,27.5,7.21
235,17.9,8.1,10.1,2.29,5.38,2.7,32.9,22,0.85,0.49,0.87
236,30,0.02,2.57,40.1,2.28,1.13,7.51,4.8,3.03,0.52,1.28
237,0.72,0.02,25.4,6.05,13.1,1.35,0.02,4.57,0.52,2.66,0.24
