T,Time,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,CPSP,CPSP_SEM,SHAM,SHAM_SEM,SHAM_68b,SHAM_6d2,SHAM_6d3
26,1/22/2023 17:00,18.90,4.29,8.16,5.39,12.80,29.00,12.70,14.10,13.17,2.83,9.69,5.22,19.20,8.65,1.21
27,1/22/2023 18:00,36.00,13.80,5.24,11.40,8.55,1.55,3.45,4.69,10.59,3.91,6.49,2.75,11.20,6.62,1.66
28,1/22/2023 19:00,37.50,54.60,25.20,36.60,33.50,7.63,0.89,5.75,25.21,6.67,29.01,9.92,36.70,41.00,9.32
29,1/22/2023 20:00,62.70,57.60,25.40,30.10,35.50,59.50,5.94,50.30,40.88,7.07,32.08,13.40,30.80,55.90,9.53
30,1/22/2023 21:00,48.40,67.10,24.60,29.80,37.60,24.50,25.20,64.90,40.26,6.31,26.26,11.25,46.70,24.20,7.89
31,1/22/2023 22:00,28.70,58.80,37.40,28.10,52.60,9.64,37.60,65.40,39.78,6.49,24.86,12.83,21.70,48.50,4.38
32,1/22/2023 23:00,57.90,7.18,38.40,39.20,3.59,49.20,14.70,57.00,33.40,7.78,31.43,13.63,25.30,57.50,11.50
33,1/23/2023 0:00,61.20,61.30,27.30,45.00,40.10,62.90,56.00,19.60,46.68,5.87,25.61,8.38,32.50,8.93,35.40
34,1/23/2023 1:00,64.20,67.40,19.00,27.00,40.50,32.90,44.10,3.56,37.33,7.66,38.70,9.38,22.50,55.00,38.60
35,1/23/2023 2:00,4.78,64.30,20.70,29.80,41.10,0.84,52.60,10.60,28.09,8.16,40.00,12.65,15.30,57.10,47.60
36,1/23/2023 3:00,57.30,55.60,7.99,3.63,6.35,18.00,52.50,34.00,29.42,8.24,43.30,0.78,43.40,44.60,41.90
37,1/23/2023 4:00,62.10,21.80,34.20,19.30,11.80,18.40,40.20,5.86,26.71,6.40,23.43,10.46,27.00,3.80,39.50
38,1/23/2023 5:00,62.00,47.50,28.10,33.20,34.00,22.40,1.20,4.99,29.17,7.16,24.87,10.70,45.70,18.70,10.20
39,1/23/2023 6:00,11.00,50.50,11.10,21.00,20.30,12.90,5.23,11.70,17.97,4.99,27.30,11.51,13.90,50.20,17.80
40,1/23/2023 7:00,15.50,23.30,13.10,37.00,41.00,40.10,23.20,37.70,28.86,4.03,15.79,9.48,9.56,34.40,3.40
41,1/23/2023 8:00,51.50,17.80,6.18,7.49,32.60,16.50,0.11,4.80,17.12,6.09,15.90,5.44,24.60,5.90,17.20
42,1/23/2023 9:00,41.10,23.40,12.00,1.90,4.99,5.48,15.60,23.40,15.98,4.60,5.14,3.67,12.30,0.14,2.98
43,1/23/2023 10:00,7.36,17.20,13.60,2.80,4.91,6.69,0.13,1.04,6.72,2.12,12.72,2.06,9.17,12.70,16.30
44,1/23/2023 11:00,0.66,5.46,0.07,3.29,4.58,1.99,31.90,4.87,6.60,3.68,6.33,#DIV/0!,,,6.33
45,1/23/2023 12:00,2.55,10.50,1.40,16.50,3.16,3.74,2.11,1.04,5.13,1.94,40.57,13.66,45.30,61.50,14.90
46,1/23/2023 13:00,23.10,3.44,3.40,1.17,27.20,9.91,0.02,0.93,8.65,3.78,10.85,1.17,12.90,10.80,8.85
47,1/23/2023 14:00,2.63,15.00,1.43,4.86,1.42,11.40,7.49,2.66,5.86,1.78,6.47,1.51,9.44,5.48,4.50
48,1/23/2023 15:00,18.00,2.51,6.83,8.18,2.20,10.70,2.36,2.77,6.69,1.97,8.15,6.98,22.10,1.44,0.90
49,1/23/2023 16:00,5.54,3.96,1.43,18.50,23.20,0.65,1.61,26.30,10.15,3.78,6.59,4.31,15.20,2.28,2.28
50,1/23/2023 17:00,39.90,14.80,8.92,0.17,15.80,1.88,1.36,4.65,10.94,4.65,14.33,3.07,15.30,19.10,8.59
51,1/23/2023 18:00,12.00,2.70,6.37,6.52,4.38,26.40,40.50,12.20,13.88,4.62,5.05,3.39,11.70,0.57,2.88
52,1/23/2023 19:00,56.10,41.70,24.80,30.30,40.30,4.93,0.79,9.02,25.99,7.00,29.30,7.12,33.60,38.90,15.40
53,1/23/2023 20:00,42.10,56.90,12.90,28.70,43.40,37.10,3.82,34.10,32.38,6.05,16.53,9.13,31.60,0.08,17.90
54,1/23/2023 21:00,31.50,53.50,21.30,15.40,41.20,35.30,32.90,45.90,34.63,4.41,9.34,4.03,17.10,3.59,7.32
55,1/23/2023 22:00,29.20,55.60,27.30,13.20,48.50,46.10,23.20,39.90,35.38,5.11,35.00,6.82,29.20,48.60,27.20
56,1/23/2023 23:00,54.80,61.80,27.80,28.90,36.20,16.80,51.50,24.60,37.80,5.75,23.95,11.21,41.90,26.60,3.35
57,1/24/2023 0:00,59.50,61.30,12.20,46.80,27.50,25.90,23.90,33.00,36.26,6.27,23.82,9.24,40.40,22.60,8.46
58,1/24/2023 1:00,51.30,62.60,3.12,43.10,12.10,36.30,31.80,51.50,36.48,7.20,28.27,5.19,38.60,23.90,22.30
59,1/24/2023 2:00,44.10,26.70,10.90,47.70,23.60,4.94,21.80,8.84,23.57,5.58,28.80,6.02,21.30,40.70,24.40
60,1/24/2023 3:00,1.28,0.69,30.10,25.50,43.20,4.04,10.60,5.22,15.08,5.61,37.73,0.84,39.10,36.20,37.90
61,1/24/2023 4:00,29.60,19.50,4.44,39.60,2.96,1.99,54.80,2.02,19.36,7.15,25.77,9.76,40.50,29.50,7.32
62,1/24/2023 5:00,56.10,53.00,37.70,15.50,18.40,8.29,19.80,26.00,29.35,6.27,31.13,7.36,34.00,42.20,17.20
63,1/24/2023 6:00,55.40,42.90,23.50,21.10,39.10,34.60,51.70,31.90,37.53,4.35,28.70,12.49,23.70,52.40,10.00
64,1/24/2023 7:00,51.30,0.46,7.90,2.39,27.00,26.10,10.20,1.70,15.88,6.27,27.50,2.36,24.00,32.00,26.50
65,1/24/2023 8:00,19.20,12.90,5.32,11.60,24.40,0.11,7.54,1.59,10.33,2.98,3.92,2.64,9.17,0.83,1.76
66,1/24/2023 9:00,2.16,21.10,10.10,0.64,26.60,3.84,16.40,1.01,10.23,3.55,7.93,5.99,19.90,2.27,1.63
67,1/24/2023 10:00,0.40,9.72,14.70,11.30,1.37,10.60,4.84,2.44,6.92,1.88,9.05,4.10,16.00,1.81,9.34
68,1/24/2023 11:00,,,16.10,31.00,,7.97,3.68,0.55,11.86,5.45,3.52,2.00,7.21,0.34,3.01
69,1/24/2023 12:00,53.00,60.10,17.70,63.40,30.30,0.11,13.80,13.00,31.43,8.59,7.89,1.06,8.33,9.46,5.87
70,1/24/2023 13:00,19.70,36.70,0.16,20.70,18.40,0.37,9.92,0.12,13.26,4.62,14.06,8.55,30.70,9.20,2.29
71,1/24/2023 14:00,6.38,15.00,6.62,2.50,10.30,18.90,0.50,0.58,7.60,2.38,1.54,0.80,1.84,0.02,2.76
72,1/24/2023 15:00,6.77,19.40,0.28,20.00,6.58,0.05,2.21,1.17,7.06,2.91,3.67,2.34,8.09,0.14,2.77
73,1/24/2023 16:00,1.06,10.70,6.68,1.39,1.95,0.04,4.82,0.60,3.40,1.31,11.50,1.55,13.20,8.41,12.90
74,1/24/2023 17:00,15.30,11.60,0.10,14.50,6.24,16.40,16.10,30.20,13.81,3.09,8.43,3.98,12.10,0.49,12.70
