T,CPSP,CPSP_SEM,SHAM,SHAM_SEM,CPSP_6cd,CPSP_6da,CPSP_57a,CPSP_6d9,CPSP_6e0,CPSP_6d3,CPSP_6d9,CPSP_57a,SHAM_68b,SHAM_6d2,SHAM_6d3
94,4.822125,2.365398671,10.18666667,1.777501367,5.99,6.29,0.38,20.30,2.94,1.50,0.38,0.79,7.96,13.70,8.90
95,3.477125,1.347819634,7.651466667,4.625845308,0.87,2.97,4.50,3.78,12.10,0.11,2.70,0.79,16.00,0.02,6.93
96,12.716875,4.811080661,2.114333333,0.8190719,30.70,33.70,0.11,18.20,12.30,0.59,5.31,0.83,2.14,3.52,0.68
97,18.41875,4.441123747,11.08466667,5.557940426,4.27,32.30,6.48,19.10,39.50,22.50,8.90,14.30,14.80,0.15,18.30
98,6.8633,2.847881996,13.52666667,4.230450462,7.53,0.02,0.97,25.00,10.20,4.91,3.67,2.60,16.50,18.90,5.18
99,8.537375,2.610409402,17.91666667,6.74427741,23.70,4.32,13.60,8.76,9.80,3.80,3.35,0.97,30.40,7.25,16.10
100,22.0525,5.513312056,35.66666667,7.229645757,31.80,27.30,21.00,45.30,35.20,8.36,5.51,1.95,50.10,29.20,27.70
101,22.8375,4.296175105,22,5.704676444,36.80,20.90,10.10,16.20,32.10,38.40,5.50,22.70,33.40,15.90,16.70
102,30.5125,2.045241647,22.9,5.602677931,25.80,36.20,25.10,22.10,32.80,30.40,32.90,38.80,26.10,12.00,30.60
103,26.8975,5.196936512,28.83333333,4.937723272,7.98,56.00,22.40,19.60,25.40,32.60,15.70,35.50,28.60,37.50,20.40
104,37.7125,4.679226031,28.4,8.168435183,50.10,59.50,22.80,42.00,39.20,26.40,39.00,22.70,44.30,17.20,23.70
105,28.79375,7.367438239,20.23333333,6.842108187,58.40,56.20,12.60,3.25,40.70,24.10,23.90,11.20,12.80,14.00,33.90
106,27.1575,7.045023003,18.6,2.95014124,53.50,53.20,18.90,26.80,11.10,4.62,7.84,41.30,19.50,23.20,13.10
107,24.8275,6.007725607,31.36666667,5.132359215,20.80,51.90,8.73,35.60,39.80,11.90,2.49,27.40,23.90,41.20,29.00
