TimeStamp,Events,UV,Fluorescence,TimeStampAdjusted,Fluorescence_Corrected,Fluorescence_Corrected_Z
1737242.962,,344.525,389.186,1737.242962,-9.482263725676086,-1.0436885506720703
1737309.622,,344.615,390.591,1737.309622,-9.965041389697669,-1.0981529653620417
1737376.277,,345.245,389.374,1737.376277,-9.809139061314388,-1.0805648918097832
1737442.934,,346.891,392.46,1737.442934,-8.968323502713668,-0.985708541414579
1737509.591,,348.444,394.73,1737.509591,-7.49413183780973,-0.8193980590674964
1737576.251,,350.528,395.737,1737.576251,-5.502993700104829,-0.5947684183057218
1737642.907,,349.838,396.719,1737.642907,-3.160705441354589,-0.33052388390588533
1737709.568,,352.2,400.09,1737.709568,-0.685202871605328,-0.05125081770436813
1737776.222,,352.247,403.75,1737.776222,1.6646073110748234,0.21384230024585976
1737842.88,,352.058,407.268,1737.84288,3.645243598802684,0.43728717801052974
1737909.541,,350.534,407.885,1737.909541,5.119400500371559,0.6035937385425866
1737976.198,,352.058,410.139,1737.976198,6.129172438120837,0.7175108512394447
1738042.857,,350.571,407.682,1738.0428570000001,6.89673142299155,0.8041027836473679
1738109.518,,351.168,408.612,1738.109518,7.73164892516631,0.8982937466085876
1738176.171,,351.407,406.495,1738.176171,8.87518807076947,1.0273017659969115
1738242.83,,350.525,410.668,1738.2428300000001,10.355988860432053,1.1943578547347167
1738309.486,,351.673,412.335,1738.309486,11.941402452410548,1.3732158048091705
1738376.145,,350.944,417.474,1738.376145,13.227834458888651,1.5183442386468695
1738442.806,,351.45,418.336,1738.442806,13.83882177127064,1.5872725856517467
1738509.461,,352.018,418.854,1738.5094609999999,13.635008128510018,1.5642794118037289
1738576.121,,351.828,415.621,1738.576121,12.824524707526855,1.4728449722481323
1738642.779,,350.564,412.524,1738.642779,11.906258287784809,1.36925102661259
1738709.438,,350.779,410.247,1738.709438,11.459117866168073,1.3188070165382262
1738776.089,,349.829,407.767,1738.776089,11.866836688669206,1.3648036909506855
