Time,ACUTE_SHAM,ACUTE_SNI,ACUTE_SHAM_SEM,ACUTE_SNI_SEM
109.000000000,17.053050000,14.942916667,3.938869025,3.368073164
110.000000000,17.456666667,14.482366667,3.699450068,3.253867955
111.000000000,12.039166667,12.510283333,4.095800595,2.939730207
112.000000000,9.227250000,12.378116667,2.742268496,2.902682336
113.000000000,7.340400000,9.661333333,2.109316457,2.645221805
114.000000000,8.935775000,6.742066667,3.838473431,1.661639231
115.000000000,7.986533333,9.688700000,2.092609751,2.797587033
116.000000000,6.074166667,5.158833333,1.493204028,1.134007274
117.000000000,1.846616667,1.382116667,0.562809356,0.487986219
118.000000000,4.095983333,3.922275000,1.350950020,1.001690439
119.000000000,3.599416667,3.716983333,0.884428993,1.249383929
120.000000000,4.340816667,4.425083333,1.581179156,2.167356818
121.000000000,5.912191667,4.477116667,2.484256587,2.020789046
122.000000000,5.759883333,2.525733333,2.050878273,1.019790462
123.000000000,3.924308333,4.605333333,2.293150102,1.551244487
124.000000000,4.745700000,3.735416667,1.942470973,1.686480975
125.000000000,4.116391667,1.975816667,1.912151256,0.581693177
126.000000000,13.149166667,12.563666667,2.259701797,2.624160262
127.000000000,9.826250000,2.924408333,3.466454503,1.069330503
128.000000000,4.750500000,1.791141667,1.650727578,0.579189116
129.000000000,11.290416667,13.986166667,2.259723976,2.105408871
130.000000000,18.012416667,17.363333333,3.593628485,2.920033814
131.000000000,14.401250000,9.442416667,3.730656887,2.777323939
132.000000000,17.989333333,7.151366667,3.970907066,1.641612467
133.000000000,19.091700000,14.057500000,6.367361225,2.920365825
134.000000000,20.932866667,12.442033333,5.042714376,2.046501586
135.000000000,7.139833333,4.944816667,2.379596228,2.014014898
136.000000000,8.228900000,8.149416667,1.930807517,1.724649734
137.000000000,11.449166667,5.208316667,4.076500367,2.213109798
138.000000000,4.083533333,8.789250000,1.486007172,2.348527931
139.000000000,5.615000000,6.810250000,2.047781072,1.900958985
140.000000000,5.123150000,3.956783333,1.800698267,1.400552727
141.000000000,3.608275000,3.306866667,1.633949009,1.114631355
142.000000000,4.880283333,1.874916667,1.482854085,0.649673654
143.000000000,8.724158333,5.345983333,2.336174812,1.899703342
144.000000000,4.043116667,1.458866667,2.337878331,0.615613343
145.000000000,1.759916667,2.572166667,0.476666341,0.768309970
146.000000000,5.076583333,6.002241667,1.855322236,2.794562571
147.000000000,8.956025000,1.858666667,4.373876516,0.765368600
148.000000000,6.195616667,1.538866667,3.136338332,0.483483430
149.000000000,5.152683333,3.486125000,1.470875643,1.081781584
150.000000000,14.560833333,8.500416667,4.043623948,1.980143519
151.000000000,8.750366667,2.718366667,2.464682477,1.343145577
152.000000000,2.908500000,3.281250000,0.840696064,0.964118133
153.000000000,10.479866667,13.207500000,3.739964816,3.132627691
154.000000000,16.025366667,20.387500000,3.456749517,4.258980952
155.000000000,13.422866667,12.623750000,4.383969680,2.729103327
156.000000000,15.883616667,14.422500000,4.383817044,3.071562411
157.000000000,18.741200000,8.354766667,2.880749279,2.280074585
158.000000000,11.851566667,14.284833333,3.749037959,2.699522971
159.000000000,11.237033333,10.700000000,2.266695261,2.400606615
160.000000000,12.845283333,7.570441667,3.783742721,3.041583401
161.000000000,4.407616667,3.623033333,1.606878067,0.965175753
162.000000000,10.709166667,7.749583333,3.994043569,2.077475520
163.000000000,7.602283333,6.523200000,2.078550445,2.065121488
164.000000000,7.268000000,4.491366667,2.206138403,1.421618686
165.000000000,1.723250000,5.181916667,0.578184176,1.591242141
166.000000000,8.215000000,3.032616667,1.842273176,0.733606792
167.000000000,1.367266667,3.327483333,0.485570692,2.026646801
168.000000000,3.152166667,5.785650000,1.426521276,2.156293538
169.000000000,3.174366667,1.341766667,1.065254417,0.509777229
170.000000000,8.310500000,3.936283333,3.676692553,0.895504423
171.000000000,1.815100000,1.982475000,0.727373925,0.622996039
172.000000000,2.471175000,4.636366667,0.804657086,2.312699221
173.000000000,4.840833333,2.850166667,1.375084272,1.101220685
174.000000000,11.164166667,10.683333333,1.983278376,1.997489839
175.000000000,9.689133333,5.004616667,2.030475006,1.331437628
176.000000000,4.404033333,3.446500000,2.191461098,0.840699037
177.000000000,13.692666667,17.297833333,3.059947735,3.500401903
178.000000000,10.894000000,16.040750000,2.721875568,4.097726009
179.000000000,17.059166667,13.865833333,3.633969250,3.567030099
180.000000000,25.370083333,15.460833333,5.766402298,3.236323311
181.000000000,17.272500000,14.801666667,4.741015766,3.295400108
182.000000000,11.875583333,7.197950000,3.496267873,2.319064476
183.000000000,11.704500000,14.563516667,2.588871980,4.128801458
184.000000000,11.148266667,6.605950000,4.872507831,2.002811167
185.000000000,9.352416667,3.668400000,3.042438320,1.191588169
186.000000000,5.056450000,9.098283333,2.167445398,3.251765028
187.000000000,9.954733333,5.457400000,3.598651416,1.590031479
188.000000000,7.420266667,6.122783333,1.926492726,1.630208593
189.000000000,4.228616667,6.900033333,1.580623605,2.462578870
190.000000000,2.822758333,1.933341667,1.304952259,1.303286933
191.000000000,5.829833333,2.049083333,2.103576190,0.759148886
192.000000000,5.498041667,2.676750000,2.409702698,0.935866793
193.000000000,3.599083333,1.838091667,1.120716238,0.763502515
194.000000000,5.471000000,6.196516667,1.376437095,2.607310691
195.000000000,5.689525000,1.687075000,2.649877215,0.581743415
196.000000000,3.047500000,2.043316667,0.662111676,0.644332281
197.000000000,8.354366667,5.862116667,2.673995522,1.558689413
198.000000000,8.554333333,3.112450000,2.682635405,1.677458129
199.000000000,7.161533333,8.946033333,2.387030098,3.074928162
200.000000000,7.813250000,5.107500000,2.435891222,1.300819680
201.000000000,12.438833333,18.926666667,2.671353674,3.859146226
202.000000000,14.450000000,25.833333333,3.195549699,3.917256564
203.000000000,18.648500000,17.634533333,5.053884357,4.671552938
204.000000000,19.391200000,12.777200000,5.804248605,3.740608119
205.000000000,24.981416667,15.776916667,4.362009185,3.241370776
206.000000000,10.822866667,12.346950000,2.797845809,3.950073191
207.000000000,9.418166667,10.713200000,3.819697755,2.752552012
208.000000000,9.493700000,9.182983333,4.088296599,3.315796400
209.000000000,7.992400000,6.350416667,3.429095094,2.484609394
210.000000000,5.451833333,6.835450000,1.741430746,2.044477402
211.000000000,5.732166667,8.515583333,2.174039854,2.810905272
212.000000000,8.819025000,7.629766667,3.490656491,2.608232900
