Time,55C_SHAM_F,56C_SHAM_F,59F_SHAM_F,536_SHAMF,A0D_SHAMF,A04_SHAMF,55C_SH_M,56C_SH_M,59F_SH_M,536_SH_M,A0D_SH_M,A04_SH_M,B65_SNI_F,B5F_SNI_F,A22_SNI_F,50E_SNIF,50D_SNIF,B65_SNI_F,56F_SNI_M,B6F_SNI_Male,B5F_SNI_Male,A22_SNI_Male,50E_SNI_Male,50D_SNI_Male,,,CTRL,SNI,CTRL_SEM,SNI_SEM,,,,,,,,,,
5/7/2024 18:00,10.8,0.739,2.16,1.48,12.9,2.03,2.84,3.9,3.16,6.65,0.59,14.2,6.26,1.61,2.15,4.04,2.82,0.157,1.15,0.901,3.48,7.13,0.263,3.11,,32,5.12075,2.755916667,1.401784183,0.641865173,,,,,,,,,,
5/7/2024 19:00,16,2.56,7.42,30.7,3.63,0.763,25.7,12.9,13.6,22.8,1.08,23.7,24,36.3,33.7,6.62,19.9,17,2.91,7.93,51.7,25.6,10.4,13.5,,33,13.40441667,20.79666667,3.030495053,4.136140848,,,,,,,,,,
5/7/2024 20:00,46.2,24.1,19.1,32.5,10.4,13.6,25.2,27.1,29.2,26.4,24.4,44.3,29,28.3,32.1,29.8,18.8,18.4,26.2,31.4,53.4,19,32.3,28.2,,34,26.875,28.90833333,3.063893468,2.67922587,,,,,,,,,,
5/7/2024 21:00,37.6,46.7,5.95,17.5,24.2,10.5,1.84,7.77,7.22,23.9,18.8,5.3,44.9,11.8,34.4,14.1,23.9,12.4,25.2,26.2,44,15.3,31,1.36,,35,17.27333333,23.71333333,4.007949361,3.86215463,,,,,,,,,,
5/7/2024 22:00,29.6,30.6,16.8,6.27,8.22,23.1,5.75,14.6,21.9,8.65,0.786,35.3,26.1,43.4,29.5,20.3,9.38,6.88,4.73,16.4,30.4,16.8,2.58,13.8,,36,16.798,18.35583333,3.252668424,3.518370288,,,,,,,,,,
5/7/2024 23:00,11,0.546,12.8,9.73,7.71,20.1,19.4,0.315,13.4,37,21.1,9.43,9,20.8,16.7,0.0244,15,23,19.2,6.05,12.6,11.9,5.91,1.51,,37,13.54425,11.80786667,2.888140253,2.160672442,,,,,,,,,,
5/8/2024 0:00,31.1,0.0244,16.7,3.72,1.68,13.4,12.2,13.1,10.5,4.74,1.88,8.07,20.3,10.4,12.8,37.7,8.56,8.52,8.48,20.5,7.31,15.9,10.8,2.3,,38,9.759533333,13.63083333,2.494184759,2.67137618,,,,,,,,,,
5/8/2024 1:00,3.26,18,2.33,1.48,23,20.9,2.35,9.95,3.86,1.28,6.98,17.7,15.4,23.9,17.1,2.84,8.36,7.38,19.9,4.79,10.9,8.27,5.21,7,,39,9.2575,10.92083333,2.403776424,1.91549798,,,,,,,,,,
5/8/2024 2:00,1.76,5.3,3.72,11.7,0.242,6.24,5.96,1.14,35.2,26.2,0.181,20.2,10.4,16,1.34,0.108,13,0.916,6.38,7.5,7.75,9.07,5.97,0.327,,40,9.82025,6.563416667,3.296047224,1.4921377,,,,,,,,,,
5/8/2024 3:00,16.7,3.68,8.41,2.38,5.09,8.05,4.12,1.58,4.65,0.602,0.573,5.16,12.3,4.45,10.7,18.2,3.25,13,6.17,9.92,1.82,8.37,0.187,3.3,,41,5.082916667,7.638916667,1.284855348,1.549481817,,,,,,,,,,
5/8/2024 4:00,6.33,0.137,9.22,8.23,18.6,8.24,3.76,13.2,6.12,0.488,4.21,10.3,29.1,14.8,15.3,0.0244,5.54,6.5,15.7,9.33,1.05,6.78,0.302,10.2,,42,7.402916667,9.5522,1.504872669,2.403735889,,,,,,,,,,
5/8/2024 5:00,29.4,19.4,2.02,1.21,2.88,6.42,16.6,6.47,22.8,6.73,2.35,5.67,14.8,10.2,6.32,4.01,8.68,3.61,13.8,18.5,32,10.3,4.74,2.65,,43,10.1625,10.80083333,2.72013205,2.399259816,,,,,,,,,,
5/8/2024 6:00,3.36,1.44,5.51,3.88,12.8,3.57,9.24,14.1,6.21,0.975,0.245,12.3,20.5,13.4,3.84,3.81,9.6,0.362,9.06,0.0728,10.4,17.9,10.1,6.37,,44,6.135833333,8.784566667,1.399766056,1.843467594,,,,,,,,,,
5/8/2024 7:00,7.41,11.2,1.39,2.44,4.44,6.12,1.3,0.202,6.46,0.0244,0.708,1.9,5.8,0.441,2.37,0.224,1.24,1.56,1.9,2.53,0.76,12.1,2.88,2.68,,45,3.632866667,2.87375,1.009813292,0.940852242,,,,,,,,,,
5/8/2024 8:00,2.44,0.0244,3.35,0.774,4.32,0.636,9.84,0.579,2.51,3.84,5.29,8.58,4.31,4.77,1.78,0.637,4.37,0.284,1.94,1.23,0.256,3.13,0.206,0.86,,46,3.515283333,1.981083333,0.906053319,0.499282841,,,,,,,,,,
5/8/2024 9:00,6.23,1.52,1.9,1.69,0.147,2.54,7.03,1.73,4.85,0.0624,5.69,5.27,3.55,2.61,19.7,1.78,3.69,0.37,3.1,0.92,0.96,4.28,0.457,0.979,,47,3.221616667,3.533,0.704993205,1.521324737,,,,,,,,,,
5/8/2024 10:00,14.7,0.0484,1.79,0.0653,0.163,0.345,4.25,0.869,8.87,0.852,0.245,8.91,1.72,6.16,5.12,3.98,6.48,0.333,2.41,9.16,1.77,3.87,0.267,1.63,,48,3.425641667,3.575,1.393422429,0.789343216,,,,,,,,,,
5/8/2024 11:00,1.78,14.8,2.51,1.05,0.561,0.333,4.35,0.0732,3.42,1.14,0.2,6.14,4.81,2.88,3.23,0.236,0.554,11.6,19.6,1.2,0.0244,2.7,0.491,0.0244,,49,3.029766667,3.945816667,1.198313953,1.70357168,,,,,,,,,,
5/8/2024 12:00,0.243,0.0244,2.14,0.277,2.97,13.1,2.64,9.05,1.74,10.2,2.29,2.68,10.8,1.75,7.89,0.341,1.49,0.479,10.2,1.06,10.8,2.83,0.581,2.73,,50,3.9462,4.245916667,1.251190766,1.248604321,,,,,,,,,,
