Time,B5F
5/31/2024 22:00,1.13
5/31/2024 23:00,1.61
6/1/2024 0:00,27.7
6/1/2024 1:00,2.9
6/1/2024 2:00,3.18
6/1/2024 3:00,0.955
6/1/2024 4:00,13.1
6/1/2024 5:00,1.83
6/1/2024 6:00,2.43
6/1/2024 7:00,11.6
6/1/2024 8:00,1.73
6/1/2024 9:00,0.291
6/1/2024 10:00,5.27
6/1/2024 11:00,1.01
6/1/2024 12:00,4.21
6/1/2024 13:00,0.184
6/1/2024 14:00,1.07
6/1/2024 15:00,3.51
6/1/2024 16:00,6.99
6/1/2024 17:00,0.538
6/1/2024 18:00,3.77
6/1/2024 19:00,35.9
6/1/2024 20:00,46
6/1/2024 21:00,24.2
6/1/2024 22:00,5.3
6/1/2024 23:00,2.98
6/2/2024 0:00,11.8
6/2/2024 1:00,25.7
6/2/2024 2:00,2.06
6/2/2024 3:00,12.8
6/2/2024 4:00,1.22
6/2/2024 5:00,15.7
6/2/2024 6:00,5.75
6/2/2024 7:00,1
6/2/2024 8:00,1.62
6/2/2024 9:00,3.97
6/2/2024 10:00,0.65
6/2/2024 11:00,2.67
6/2/2024 12:00,0.268
6/2/2024 13:00,1.02
6/2/2024 14:00,5.91
6/2/2024 15:00,7.86
6/2/2024 16:00,2.97
6/2/2024 17:00,0.756
6/2/2024 18:00,3.41
6/2/2024 19:00,34.9
6/2/2024 20:00,43.6
6/2/2024 21:00,5.78
6/2/2024 22:00,1.25
6/2/2024 23:00,19.5
6/3/2024 0:00,15
6/3/2024 1:00,1.73
6/3/2024 2:00,25.1
6/3/2024 3:00,1.83
6/3/2024 4:00,1.62
6/3/2024 5:00,17
6/3/2024 6:00,11.5
6/3/2024 7:00,0.39
6/3/2024 8:00,2.18
6/3/2024 9:00,2.96
6/3/2024 10:00,0.796
6/3/2024 11:00,3.64
6/3/2024 12:00,0.111
6/3/2024 13:00,0.659
6/3/2024 14:00,0.823
6/3/2024 15:00,3.12
6/3/2024 16:00,13.9
6/3/2024 17:00,0.628
6/3/2024 18:00,9.15
6/3/2024 19:00,44.7
6/3/2024 20:00,38.6
6/3/2024 21:00,1.12
6/3/2024 22:00,7.64
6/3/2024 23:00,33.6
6/4/2024 0:00,3.9
6/4/2024 1:00,6.65
6/4/2024 2:00,19.7
6/4/2024 3:00,1.37
6/4/2024 4:00,28.3
6/4/2024 5:00,9.09
6/4/2024 6:00,15.5
6/4/2024 7:00,0.917
6/4/2024 8:00,3.02
6/4/2024 9:00,
6/4/2024 10:00,
6/4/2024 11:00,
6/4/2024 12:00,
