Time,A0D
5/28/2024 8:00,0.674
5/28/2024 9:00,0.152
5/28/2024 10:00,13.4
5/28/2024 11:00,23.2
5/28/2024 12:00,37
5/28/2024 13:00,20.6
5/28/2024 14:00,12.8
5/28/2024 15:00,10.7
5/28/2024 16:00,10.5
5/28/2024 17:00,6.65
5/28/2024 18:00,2.87
5/28/2024 19:00,6.92
5/28/2024 20:00,5.68
5/28/2024 21:00,6.2
5/28/2024 22:00,11.1
5/28/2024 23:00,0.448
5/29/2024 0:00,3.29
5/29/2024 1:00,3.93
5/29/2024 2:00,0.0244
5/29/2024 3:00,2.18
5/29/2024 4:00,0.136
5/29/2024 5:00,1.31
5/29/2024 6:00,0.0244
5/29/2024 7:00,0.454
5/29/2024 8:00,1.2
5/29/2024 9:00,16.4
5/29/2024 10:00,0.581
5/29/2024 11:00,1.35
5/29/2024 12:00,0.0942
5/29/2024 13:00,0.355
5/29/2024 14:00,0.306
5/29/2024 15:00,6.08
5/29/2024 16:00,2.94
5/29/2024 17:00,0.0461
5/29/2024 18:00,0.0405
5/29/2024 19:00,4.08
5/29/2024 20:00,15.9
5/29/2024 21:00,16.2
5/29/2024 22:00,6.01
5/29/2024 23:00,21.2
5/30/2024 0:00,13.9
5/30/2024 1:00,1.47
5/30/2024 2:00,1.75
5/30/2024 3:00,0.526
5/30/2024 4:00,13.4
5/30/2024 5:00,0.0244
5/30/2024 6:00,19.4
5/30/2024 7:00,5.08
5/30/2024 8:00,0.0244
5/30/2024 9:00,1.61
5/30/2024 10:00,0.4
5/30/2024 11:00,0.667
5/30/2024 12:00,2.23
5/30/2024 13:00,1.03
5/30/2024 14:00,7.13
5/30/2024 15:00,0.0723
5/30/2024 16:00,11.9
5/30/2024 17:00,0.562
5/30/2024 18:00,2.66
5/30/2024 19:00,14.8
5/30/2024 20:00,9.22
5/30/2024 21:00,3.84
5/30/2024 22:00,14
5/30/2024 23:00,0.466
5/31/2024 0:00,8.74
5/31/2024 1:00,13.6
5/31/2024 2:00,0.0244
5/31/2024 3:00,1.44
5/31/2024 4:00,8.31
5/31/2024 5:00,0.937
5/31/2024 6:00,0.0244
5/31/2024 7:00,0.255
5/31/2024 8:00,10.8
5/31/2024 9:00,0.0345
5/31/2024 10:00,0.364
5/31/2024 11:00,2.84
5/31/2024 12:00,0.119
5/31/2024 13:00,0.658
5/31/2024 14:00,1.82
5/31/2024 15:00,8.27
5/31/2024 16:00,7.46
5/31/2024 17:00,0.332
5/31/2024 18:00,2.61
5/31/2024 19:00,11.2
5/31/2024 20:00,21.5
5/31/2024 21:00,6.64
5/31/2024 22:00,0.567
5/31/2024 23:00,16
6/1/2024 0:00,10
6/1/2024 1:00,5.85
6/1/2024 2:00,11.5
6/1/2024 3:00,2.19
6/1/2024 4:00,2.24
6/1/2024 5:00,5.45
6/1/2024 6:00,0.255
6/1/2024 7:00,1.8
6/1/2024 8:00,6.7
6/1/2024 9:00,0.0244
6/1/2024 10:00,0.912
6/1/2024 11:00,1.04
6/1/2024 12:00,2.2
6/1/2024 13:00,0.0244
6/1/2024 14:00,0.563
6/1/2024 15:00,4.07
6/1/2024 16:00,9.75
6/1/2024 17:00,9.5
6/1/2024 18:00,2.36
6/1/2024 19:00,14.9
6/1/2024 20:00,6.73
6/1/2024 21:00,10.3
6/1/2024 22:00,11
6/1/2024 23:00,11.4
6/2/2024 0:00,0.0686
6/2/2024 1:00,15.3
6/2/2024 2:00,1.27
6/2/2024 3:00,0.227
6/2/2024 4:00,2.24
6/2/2024 5:00,1.99
6/2/2024 6:00,0.0244
6/2/2024 7:00,2.05
6/2/2024 8:00,0.262
6/2/2024 9:00,3.76
6/2/2024 10:00,5.24
6/2/2024 11:00,2.39
6/2/2024 12:00,2.04
6/2/2024 13:00,3.95
6/2/2024 14:00,6.08
6/2/2024 15:00,7.55
6/2/2024 16:00,2.46
6/2/2024 17:00,1.35
6/2/2024 18:00,1.59
6/2/2024 19:00,17.9
6/2/2024 20:00,2.74
6/2/2024 21:00,12.9
6/2/2024 22:00,0.0244
6/2/2024 23:00,13.5
6/3/2024 0:00,0.0244
6/3/2024 1:00,9.28
6/3/2024 2:00,2.98
6/3/2024 3:00,0.0244
6/3/2024 4:00,3.95
6/3/2024 5:00,0.539
6/3/2024 6:00,0.36
6/3/2024 7:00,3.3
6/3/2024 8:00,0.0244
6/3/2024 9:00,1.53
6/3/2024 10:00,0.727
6/3/2024 11:00,0.214
6/3/2024 12:00,1.34
6/3/2024 13:00,1.46
6/3/2024 14:00,0.0646
6/3/2024 15:00,7.04
6/3/2024 16:00,6.06
6/3/2024 17:00,4.79
6/3/2024 18:00,3
6/3/2024 19:00,21.5
6/3/2024 20:00,11.9
6/3/2024 21:00,0.773
6/3/2024 22:00,10.5
6/3/2024 23:00,1.18
6/4/2024 0:00,18
6/4/2024 1:00,0.0244
6/4/2024 2:00,12.8
6/4/2024 3:00,0.787
6/4/2024 4:00,0.0244
6/4/2024 5:00,0.51
6/4/2024 6:00,4.76
6/4/2024 7:00,0.657
6/4/2024 8:00,9.46
6/4/2024 9:00,
6/4/2024 10:00,
6/4/2024 11:00,
6/4/2024 12:00,
