Elapsed Hours (since 7:00),F_SNI_Met_Met1_FED007_033024_00.CSV,F_SNI_Met_Met1_FED008_032924_00.CSV,F_SNI_Met_Met1_FED009_032824_00.CSV,F_SNI_Met_Met2_FED007_042524_00.CSV,F_SNI_Met_Met2_FED008_042424_00.CSV,F_SNI_Met_Met2_FED009_042524_00.CSV,F_SNI_Met_Met2_FED015_042524_00.CSV,F_SNI_Met_Met2_FED016_042424_00.CSV,M_SNI_Met_Met1_FED010_032924_00.CSV,M_SNI_Met_Met1_FED011_033024_00.CSV,M_SNI_Met_Met1_FED012_032924_00.CSV,M_SNI_Met_Met2_FED010_042424_00.CSV,M_SNI_Met_Met2_FED011_042524_00.CSV,M_SNI_Met_Met2_FED012_042424_00.CSV,F_Ctrl_Veh_Met1_FED001_040124_00.CSV,F_Ctrl_Veh_Met1_FED002_032924_00.CSV,F_Ctrl_Veh_Met1_FED003_032924_00.CSV,F_Ctrl_Veh_Met2_FED001_042424_00.CSV,F_Ctrl_Veh_Met2_FED002_042524_00.CSV,F_Ctrl_Veh_Met2_FED003_042424_00.CSV,F_Ctrl_Veh_Met2_FED013_042424_00.CSV,F_Ctrl_Veh_Met2_FED014_042524_00.CSV,M_Ctrl_Veh_Met1_FED004_033024_00.CSV,M_Ctrl_Veh_Met1_FED005_032824_00.CSV,M_Ctrl_Veh_Met1_FED006_032924_00.CSV,M_Ctrl_Veh_Met2_FED004_042524_00.CSV,M_Ctrl_Veh_Met2_FED005_042424_00.CSV,M_Ctrl_Veh_Met2_FED006_042724_00.csv,F_SNI_Veh_Met1_FED007_033124_00.CSV,F_SNI_Veh_Met1_FED008_032824_00.CSV,F_SNI_Veh_Met1_FED009_032924_00.CSV,F_SNI_Veh_Met2_FED007_042424_00.CSV,F_SNI_Veh_Met2_FED008_042524_00.CSV,F_SNI_Veh_Met2_FED009_042424_00.CSV,F_SNI_Veh_Met2_FED015_042624_00.CSV,F_SNI_Veh_Met2_FED016_042524_00.CSV,M_SNI_Veh_Met1_FED010_032824_00.CSV,M_SNI_Veh_Met1_FED011_032924_00.CSV,M_SNI_Veh_Met1_FED012_033024_00.CSV,M_SNI_Veh_Met2_FED010_042524_00.CSV,M_SNI_Veh_Met2_FED011_042624_00.CSV,M_SNI_Veh_Met2_FED012_042524_00.CSV,SNI_MET,SNI_MET SEM,VEH_CTRL,VEH_CTRL SEM,VEH_SNI,VEH_SNI SEM
31.0,24.0,9.0,39.0,20.0,1.0,137.0,15.0,4.0,60.0,13.0,1.0,14.0,11.0,25.0,,70.0,15.0,3.0,17.0,18.0,28.0,41.0,148.0,76.0,80.0,44.0,37.0,32.0,18.0,14.0,29.0,3.0,13.0,48.0,12.0,0.0,21.0,6.0,15.0,17.0,15.0,11.0,26.642857142857142,9.481970828927283,46.84615384615385,10.769047617490195,15.857142857142858,3.1480975292031848
32.0,20.0,0.0,68.0,20.0,8.0,30.0,19.0,4.0,114.0,3.0,1.0,26.0,1.0,13.0,,66.0,14.0,7.0,1.0,21.0,37.0,19.0,47.0,24.0,73.0,79.0,4.0,14.0,27.0,13.0,15.0,0.0,1.0,29.0,22.0,1.0,174.0,6.0,17.0,9.0,0.0,4.0,23.357142857142858,8.444783254010806,31.23076923076923,7.450824981128486,22.714285714285715,11.935001885869083
33.0,32.0,19.0,61.0,13.0,18.0,62.0,6.0,9.0,226.0,6.0,18.0,34.0,10.0,31.0,,24.0,0.0,10.0,2.0,11.0,72.0,43.0,126.0,9.0,96.0,111.0,18.0,39.0,,11.0,52.0,31.0,9.0,32.0,9.0,7.0,111.0,9.0,14.0,10.0,6.0,10.0,38.92857142857143,15.190535039558975,43.15384615384615,12.132730765105622,23.923076923076923,8.170821709973456
34.0,24.0,9.0,35.0,,14.0,5.0,17.0,1.0,104.0,25.0,44.0,16.0,6.0,,,38.0,17.0,6.0,4.0,6.0,80.0,42.0,108.0,43.0,78.0,26.0,32.0,9.0,,19.0,26.0,22.0,,39.0,15.0,6.0,131.0,2.0,6.0,18.0,,,25.0,8.053796394473625,37.61538461538461,9.117845605254693,28.4,11.908167132033562
35.0,2.0,,80.0,,,,,,115.0,1.0,18.0,,,,,47.0,,,,,,,197.0,2.0,26.0,,,,,7.0,15.0,,,,,,305.0,22.0,18.0,,,,43.2,23.04647478466067,68.0,43.971581731841304,73.4,57.95222170029376
36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,0.0
37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0
