MM:DD:YYYY hh:mm:ss,LibaryVersion,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2021-02-01 17:37:49,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,42,14,14,7,,0.8,0 days 02:14:56.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:37:52,1.1.4,ProRat2,5,3.87,0,6,Pellet,Left,42,14,15,8,1.07,,0 days 02:14:59.000000000,1.0,0.85,0.0,0.0,,0,ProRat2
2021-02-01 17:38:18,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,43,14,15,8,,0.03,0 days 02:15:25.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:38:19,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,44,14,15,8,,0.15,0 days 02:15:26.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:38:22,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,45,14,15,8,,0.0,0 days 02:15:29.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:38:24,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,46,14,15,8,,0.65,0 days 02:15:31.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:38:32,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,47,14,15,8,,0.55,0 days 02:15:39.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 17:38:37,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,48,14,15,8,,0.57,0 days 02:15:44.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:26:02,1.1.4,ProRat2,5,3.87,0,1,Poke,Left,49,14,15,0,,0.37,0 days 03:03:09.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:26:05,1.1.4,ProRat2,5,3.87,0,1,Pellet,Left,49,14,16,1,1.08,,0 days 03:03:12.000000000,1.0,48.21666666666667,0.0,0.0,,0,ProRat2
2021-02-01 18:26:35,1.1.4,ProRat2,5,3.87,0,1,Poke,Left,50,14,16,1,,0.33,0 days 03:03:42.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:26:49,1.1.4,ProRat2,5,3.87,0,1,Pellet,Left,50,14,17,2,1.71,,0 days 03:03:56.000000000,1.0,0.7333333333333333,0.0,0.0,,0,ProRat2
2021-02-01 18:27:15,1.1.4,ProRat2,5,3.87,0,2,Poke,Left,51,14,17,2,,0.14,0 days 03:04:22.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:27:16,1.1.4,ProRat2,5,3.87,0,2,Poke,Left,52,14,17,2,,0.0,0 days 03:04:23.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:27:21,1.1.4,ProRat2,5,3.87,0,2,Pellet,Left,52,14,18,3,1.2,,0 days 03:04:28.000000000,1.0,0.5333333333333333,0.0,0.0,,0,ProRat2
2021-02-01 18:27:47,1.1.4,ProRat2,5,3.87,0,2,Poke,Left,53,14,18,3,,0.47,0 days 03:04:54.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:27:52,1.1.4,ProRat2,5,3.87,0,2,Poke,Left,54,14,18,3,,0.38,0 days 03:04:59.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:27:54,1.1.4,ProRat2,5,3.87,0,2,Pellet,Left,54,14,19,4,0.51,,0 days 03:05:01.000000000,1.0,0.55,0.0,0.0,,0,ProRat2
2021-02-01 18:28:20,1.1.4,ProRat2,5,3.87,0,3,Poke,Left,55,14,19,4,,0.02,0 days 03:05:27.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:28:22,1.1.4,ProRat2,5,3.87,0,3,Poke,Left,56,14,19,4,,0.31,0 days 03:05:29.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:28:23,1.1.4,ProRat2,5,3.87,0,3,Poke,Left,57,14,19,4,,0.16,0 days 03:05:30.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:28:25,1.1.4,ProRat2,5,3.87,0,3,Pellet,Left,57,14,20,5,0.25,,0 days 03:05:32.000000000,1.0,0.5166666666666667,0.0,0.0,,0,ProRat2
2021-02-01 18:29:05,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,58,14,20,5,,0.01,0 days 03:06:12.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:38:44,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,59,14,20,5,,0.17,0 days 03:15:51.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:38:49,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,60,14,20,5,,1.6,0 days 03:15:56.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:38:53,1.1.4,ProRat2,5,3.87,0,4,Poke,Left,61,14,20,5,,0.68,0 days 03:16:00.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:38:56,1.1.4,ProRat2,5,3.87,0,4,Pellet,Left,61,14,21,6,1.33,,0 days 03:16:03.000000000,1.0,10.516666666666667,0.0,0.0,,0,ProRat2
2021-02-01 18:39:25,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,62,14,21,6,,0.12,0 days 03:16:32.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:39:31,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,63,14,21,6,,0.65,0 days 03:16:38.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:39:35,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,64,14,21,6,,0.0,0 days 03:16:42.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:39:42,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,65,14,21,6,,0.0,0 days 03:16:49.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:39:44,1.1.4,ProRat2,5,3.87,0,5,Poke,Left,66,14,21,6,,0.0,0 days 03:16:51.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:39:46,1.1.4,ProRat2,5,3.87,0,5,Pellet,Left,66,14,22,7,0.51,,0 days 03:16:53.000000000,1.0,0.8333333333333334,0.0,0.0,,0,ProRat2
2021-02-01 18:40:12,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,67,14,22,7,,0.54,0 days 03:17:19.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:40:16,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,68,14,22,7,,0.34,0 days 03:17:23.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:40:21,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,69,14,22,7,,0.47,0 days 03:17:28.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:40:28,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,70,14,22,7,,0.56,0 days 03:17:35.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:40:30,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,71,14,22,7,,0.2,0 days 03:17:37.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:40:31,1.1.4,ProRat2,5,3.87,0,6,Poke,Left,72,14,22,7,,0.29,0 days 03:17:38.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:40:34,1.1.4,ProRat2,5,3.87,0,6,Pellet,Left,72,14,23,8,0.44,,0 days 03:17:41.000000000,1.0,0.8,0.0,0.0,,0,ProRat2
2021-02-01 18:40:58,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,72,15,23,8,,0.09,0 days 03:18:05.000000000,0.0,,0.0,1.0,0.0,0,ProRat2
2021-02-01 18:41:05,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,73,15,23,8,,0.19,0 days 03:18:12.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:41:08,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,74,15,23,8,,0.26,0 days 03:18:15.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:41:13,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,75,15,23,8,,0.0,0 days 03:18:20.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:41:16,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,76,15,23,8,,0.41,0 days 03:18:23.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:41:19,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,77,15,23,8,,0.46,0 days 03:18:26.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:41:21,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,78,15,23,8,,0.21,0 days 03:18:28.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:45:48,1.1.4,ProRat2,5,3.87,0,7,Poke,Left,79,15,23,8,,0.22,0 days 03:22:55.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:45:51,1.1.4,ProRat2,5,3.87,0,7,Pellet,Left,79,15,24,9,1.27,,0 days 03:22:58.000000000,1.0,5.283333333333333,0.0,0.0,,0,ProRat2
2021-02-01 18:46:20,1.1.4,ProRat2,5,3.87,0,9,Poke,Left,80,15,24,9,,0.0,0 days 03:23:27.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:46:25,1.1.4,ProRat2,5,3.87,0,9,Poke,Left,81,15,24,9,,0.21,0 days 03:23:32.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:46:29,1.1.4,ProRat2,5,3.87,0,9,Poke,Left,82,15,24,9,,0.22,0 days 03:23:36.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:46:30,1.1.4,ProRat2,5,3.87,0,9,Poke,Left,83,15,24,9,,0.13,0 days 03:23:37.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:46:34,1.1.4,ProRat2,5,3.87,0,9,Poke,Left,84,15,24,9,,0.25,0 days 03:23:41.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:46:39,1.1.4,ProRat2,5,3.87,0,9,Poke,Left,85,15,24,9,,0.82,0 days 03:23:46.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:46:41,1.1.4,ProRat2,5,3.87,0,9,Poke,Left,86,15,24,9,,0.15,0 days 03:23:48.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:46:42,1.1.4,ProRat2,5,3.87,0,9,Poke,Left,87,15,24,9,,0.36,0 days 03:23:49.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:46:45,1.1.4,ProRat2,5,3.87,0,9,Poke,Left,88,15,24,9,,0.0,0 days 03:23:52.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:46:48,1.1.4,ProRat2,5,3.87,0,9,Pellet,Left,88,15,25,10,1.84,,0 days 03:23:55.000000000,1.0,0.95,0.0,0.0,,0,ProRat2
2021-02-01 18:48:11,1.1.4,ProRat2,5,3.87,0,10,Poke,Left,88,16,25,10,,0.2,0 days 03:25:18.000000000,0.0,,0.0,1.0,0.0,0,ProRat2
2021-02-01 18:48:13,1.1.4,ProRat2,5,3.87,0,10,Poke,Left,88,17,25,10,,0.42,0 days 03:25:20.000000000,0.0,,0.0,1.0,0.0,0,ProRat2
2021-02-01 18:48:15,1.1.4,ProRat2,5,3.87,0,10,Poke,Left,89,17,25,10,,0.22,0 days 03:25:22.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:48:22,1.1.4,ProRat2,5,3.87,0,10,Poke,Left,89,18,25,10,,0.04,0 days 03:25:29.000000000,0.0,,0.0,1.0,0.0,0,ProRat2
2021-02-01 18:48:30,1.1.4,ProRat2,5,3.87,0,10,Poke,Left,90,18,25,10,,0.32,0 days 03:25:37.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:48:31,1.1.4,ProRat2,5,3.87,0,10,Poke,Left,91,18,25,10,,0.0,0 days 03:25:38.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:48:37,1.1.4,ProRat2,5,3.87,0,10,Poke,Left,92,18,25,10,,0.32,0 days 03:25:44.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 18:48:40,1.1.4,ProRat2,5,3.87,0,10,Poke,Left,93,18,25,10,,0.45,0 days 03:25:47.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 19:21:41,1.1.4,ProRat2,5,3.87,0,1,Poke,Left,94,18,25,0,,0.08,0 days 03:58:48.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 19:21:43,1.1.4,ProRat2,5,3.87,0,1,Pellet,Left,94,18,26,1,0.57,,0 days 03:58:50.000000000,1.0,34.916666666666664,0.0,0.0,,0,ProRat2
2021-02-01 19:22:06,1.1.4,ProRat2,5,3.87,0,1,Poke,Left,95,18,26,1,,0.03,0 days 03:59:13.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
2021-02-01 19:22:21,1.1.4,ProRat2,5,3.87,0,1,Pellet,Left,95,18,27,2,0.7,,0 days 03:59:28.000000000,1.0,0.6333333333333333,0.0,0.0,,0,ProRat2
2021-02-01 19:22:41,1.1.4,ProRat2,5,3.87,0,2,Poke,Left,96,18,27,2,,0.07,0 days 03:59:48.000000000,0.0,,1.0,0.0,1.0,0,ProRat2
