Elapsed Hours (since 7:00),F_Halo1_H1_FED001_050323_00.CSV,F_Halo1_H1_FED002_050323_00.CSV,F_Halo1_H1_FED003_050423_00.CSV,F_Halo1_H1_FED004_050423_00.CSV,F_Halo2_H1_FED001_011724_00.CSV,F_Halo2_H1_FED002_011824_00.CSV,F_Halo3_H1_FED006_020724_00.csv,F_Halo3_H1_FED007_020824_00.CSV,F_Halo3_H1_FED008_020724_00.CSV,F_Halo3_H1_FED009_020824_00.CSV,F_Halo3_H1_FED010_020724_00.CSV,M_Halo1_H1_FED007_050323_00.CSV,M_Halo1_H1_FED008_050423_concat_00.CSV,M_Halo2_H1_FED003_011724_00.CSV,M_Halo2_H1_FED004_011824_00.CSV,M_Halo2_H1_FED006_012024_02.csv,M_Halo3_H1_FED002_020724_00.CSV,M_Halo3_H1_FED003_020824_00.CSV,F_Halo1_V1_FED001_050423_00.CSV,F_Halo1_V1_FED002_050423_00.CSV,F_Halo1_V1_FED003_050323_00.CSV,F_Halo1_V1_FED004_050323_00.CSV,F_Halo2_V1_FED001_011824_00.CSV,F_Halo2_V1_FED002_011724_00.CSV,F_Halo3_V1_FED006_020824_00.CSV,F_Halo3_V1_FED007_020724_00.CSV,F_Halo3_V1_FED008_020824_00.CSV,F_Halo3_V1_FED009_020724_00.CSV,F_Halo3_V1_FED010_020824_00.CSV,M_Halo1_V1_FED007_050423_00.CSV,M_Halo1_V1_FED008_050323_00.CSV,M_Halo2_V1_FED003_011824_00.CSV,M_Halo2_V1_FED004_011724_00.CSV,M_Halo2_V1_FED006_011924_02.csv,M_Halo3_V1_FED002_020824_00.CSV,M_Halo3_V1_FED003_020724_00.CSV,HAL,HAL SEM,VEH,VEH SEM
37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0
