MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time,UnixTime,TimeDiff,ElapseTime,hours,mins
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12515,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12516,456,659,26,nan,0.09,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12517,456,659,26,nan,0.13,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12518,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12519,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12520,456,659,26,nan,0.54,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12521,456,659,26,nan,0.7,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12522,456,659,26,nan,0.41,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12523,456,659,26,nan,0.28,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:57,1.2.5,ProRat,1,3.71,1,69,Left,Left,12524,456,659,26,nan,0.15,###############################################################################################################################################################################################################################################################,0,400380,111,
2/15/2021 7:58,1.2.5,ProRat,1,3.71,1,69,Left,Left,12525,456,659,26,nan,0.28,###############################################################################################################################################################################################################################################################,60,400440,111,
2/15/2021 7:58,1.2.5,ProRat,1,3.71,1,69,Left,Left,12526,456,659,26,nan,0.04,###############################################################################################################################################################################################################################################################,0,400440,111,
2/15/2021 7:58,1.2.5,ProRat,1,3.71,1,69,Left,Left,12527,456,659,26,nan,0.39,###############################################################################################################################################################################################################################################################,0,400440,111,
2/15/2021 7:58,1.2.5,ProRat,1,3.71,1,69,Left,Left,12528,456,659,26,nan,0.49,###############################################################################################################################################################################################################################################################,0,400440,111,
2/15/2021 7:58,1.2.5,ProRat,1,3.71,1,69,Left,Left,12529,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,400440,111,
2/15/2021 7:58,1.2.5,ProRat,1,3.71,1,69,Left,Left,12530,456,659,26,nan,0.28,###############################################################################################################################################################################################################################################################,0,400440,111,
2/15/2021 7:58,1.2.5,ProRat,1,3.71,1,69,Left,Left,12531,456,659,26,nan,0.4,###############################################################################################################################################################################################################################################################,0,400440,111,
2/15/2021 8:20,1.2.5,ProRat,1,3.71,1,69,Left,Left,12532,456,659,26,nan,0.33,###############################################################################################################################################################################################################################################################,1320,401760,111,
2/15/2021 8:20,1.2.5,ProRat,1,3.71,1,69,Left,Left,12533,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,401760,111,
2/15/2021 8:20,1.2.5,ProRat,1,3.71,1,69,Left,Left,12534,456,659,26,nan,0.05,###############################################################################################################################################################################################################################################################,0,401760,111,
2/15/2021 8:21,1.2.5,ProRat,1,3.71,1,69,Left,Left,12535,456,659,26,nan,0.36,###############################################################################################################################################################################################################################################################,60,401820,111,
2/15/2021 8:21,1.2.5,ProRat,1,3.71,1,69,Left,Left,12536,456,659,26,nan,0.3,###############################################################################################################################################################################################################################################################,0,401820,111,
2/15/2021 8:21,1.2.5,ProRat,1,3.71,1,69,Left,Left,12537,456,659,26,nan,0.36,###############################################################################################################################################################################################################################################################,0,401820,111,
2/15/2021 8:21,1.2.5,ProRat,1,3.71,1,69,Left,Left,12538,456,659,26,nan,0.18,###############################################################################################################################################################################################################################################################,0,401820,111,
2/15/2021 8:21,1.2.5,ProRat,1,3.71,1,69,Left,Left,12539,456,659,26,nan,0.26,###############################################################################################################################################################################################################################################################,0,401820,111,
2/15/2021 8:21,1.2.5,ProRat,1,3.71,1,69,Left,Left,12540,456,659,26,nan,1.17,###############################################################################################################################################################################################################################################################,0,401820,111,
2/15/2021 8:21,1.2.5,ProRat,1,3.71,1,69,Left,Left,12541,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,401820,111,
2/15/2021 8:21,1.2.5,ProRat,1,3.71,1,69,Left,Left,12542,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,401820,111,
2/15/2021 8:21,1.2.5,ProRat,1,3.71,1,69,Left,Left,12543,456,659,26,nan,0.05,###############################################################################################################################################################################################################################################################,0,401820,111,
2/15/2021 8:21,1.2.5,ProRat,1,3.71,1,69,Left,Left,12544,456,659,26,nan,0.7,###############################################################################################################################################################################################################################################################,0,401820,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12545,456,659,26,nan,0.33,###############################################################################################################################################################################################################################################################,180,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12546,456,659,26,nan,4.4,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12547,456,659,26,nan,1.46,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12548,456,659,26,nan,0.65,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12549,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12550,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12551,456,659,26,nan,0.62,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12552,456,659,26,nan,0.85,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12553,456,659,26,nan,0.37,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12554,456,659,26,nan,0.03,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12555,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12556,456,659,26,nan,0.06,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12557,456,659,26,nan,0.52,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:24,1.2.5,ProRat,1,3.71,1,69,Left,Left,12558,456,659,26,nan,0.36,###############################################################################################################################################################################################################################################################,0,402000,111,
2/15/2021 8:25,1.2.5,ProRat,1,3.71,1,69,Left,Left,12559,456,659,26,nan,0.25,###############################################################################################################################################################################################################################################################,60,402060,111,
2/15/2021 8:25,1.2.5,ProRat,1,3.71,1,69,Left,Left,12560,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,402060,111,
2/15/2021 8:25,1.2.5,ProRat,1,3.71,1,69,Left,Left,12561,456,659,26,nan,0.34,###############################################################################################################################################################################################################################################################,0,402060,111,
2/15/2021 8:25,1.2.5,ProRat,1,3.71,1,69,Left,Left,12562,456,659,26,nan,0.29,###############################################################################################################################################################################################################################################################,0,402060,111,
2/15/2021 8:25,1.2.5,ProRat,1,3.71,1,69,Left,Left,12563,456,659,26,nan,0.23,###############################################################################################################################################################################################################################################################,0,402060,111,
2/15/2021 8:25,1.2.5,ProRat,1,3.71,1,69,Left,Left,12564,456,659,26,nan,0,###############################################################################################################################################################################################################################################################,0,402060,111,
2/15/2021 8:25,1.2.5,ProRat,1,3.71,1,69,Left,Left,12565,456,659,26,nan,0.3,###############################################################################################################################################################################################################################################################,0,402060,111,
2/15/2021 8:25,1.2.5,ProRat,1,3.71,1,69,Pellet,Left,12565,456,660,27,0.63,nan,###############################################################################################################################################################################################################################################################,0,402060,111,
2/15/2021 8:26,1.2.5,ProRat,1,3.71,1,77,Left,Left,12566,456,660,27,nan,0.06,###############################################################################################################################################################################################################################################################,60,402120,111,
2/15/2021 8:26,1.2.5,ProRat,1,3.71,1,77,Left,Left,12567,456,660,27,nan,0.31,###############################################################################################################################################################################################################################################################,0,402120,111,
2/15/2021 8:26,1.2.5,ProRat,1,3.71,1,77,Left,Left,12568,456,660,27,nan,0.18,###############################################################################################################################################################################################################################################################,0,402120,111,
2/15/2021 8:26,1.2.5,ProRat,1,3.71,1,77,Left,Left,12569,456,660,27,nan,0,###############################################################################################################################################################################################################################################################,0,402120,111,
2/15/2021 8:26,1.2.5,ProRat,1,3.71,1,77,Left,Left,12570,456,660,27,nan,0.25,###############################################################################################################################################################################################################################################################,0,402120,111,
2/15/2021 8:26,1.2.5,ProRat,1,3.71,1,77,Left,Left,12571,456,660,27,nan,0.3,###############################################################################################################################################################################################################################################################,0,402120,111,
2/15/2021 8:26,1.2.5,ProRat,1,3.71,1,77,Left,Left,12572,456,660,27,nan,0.31,###############################################################################################################################################################################################################################################################,0,402120,111,
2/15/2021 8:26,1.2.5,ProRat,1,3.71,1,77,Left,Left,12573,456,660,27,nan,0.11,###############################################################################################################################################################################################################################################################,0,402120,111,
