TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD
2311367.756,,293.787,303.223,,0,0,0,0,0
2311434.41,,293.461,303.492,,0,0,0,0,0
2311501.068,,292.728,301.55,,0,0,0,0,0
2311567.728,,293.016,300.419,,0,0,0,0,0
2311634.391,,291.72,302.331,,0,0,0,0,0
2311701.045,,289.938,305.103,,0,0,0,0,0
2311767.703,,290.791,303.953,,0,0,0,0,0
2311834.361,,291.254,304.18,,0,0,0,0,0
2311901.017,,293.657,302.151,,0,0,0,0,0
2311967.673,,292.565,302.529,,0,0,0,0,0
2312034.33,,293.204,301.05,,0,0,0,0,0
2312100.988,,291.708,303.13,,0,0,0,0,0
2312167.644,,293.153,305.356,,0,0,0,0,0
2312234.305,,294.981,305.093,,0,0,0,0,0
2312300.964,,292.694,302.021,,0,0,0,0,0
2312367.622,,292.521,299.803,,0,0,0,0,0
2312434.275,,291.551,296.225,,0,0,0,0,0
2312500.932,,291.183,292.976,,0,0,0,0,0
2312567.592,,290.688,294.281,,0,0,0,0,0
2312634.247,,290.429,297.846,,0,0,0,0,0
2312700.905,,290.279,305.118,,0,0,0,0,0
2312767.563,,289.554,310.476,,0,0,0,0,0
2312834.222,,291.391,309.94,,0,0,0,0,0
2312900.878,,292.488,309.676,,0,0,0,0,0
2312967.538,,290.575,311.484,,0,0,0,0,0
2313034.195,,293.003,310.764,,0,0,0,0,0
2313100.85,,292.684,309.838,,0,0,0,0,0
2313167.509,,292.381,309.907,,0,0,0,0,0
2313234.167,,291.873,309.727,,0,0,0,0,0
2313300.822,,292.75,311.367,,0,0,0,0,0
2313367.482,,292.901,311.171,,0,0,0,0,0
2313434.136,,292.984,311.591,,0,0,0,0,0
2313500.799,,295.948,312.045,,0,0,0,0,0
2313567.454,,294.495,309.345,,0,0,0,0,0
2313634.112,,293.978,307.151,,0,0,0,0,0
2313700.771,,294.07,308.562,,0,0,0,0,0
2313767.429,,294.063,311.324,,0,0,0,0,0
2313834.085,,294.059,311.235,,0,0,0,0,0
2313900.739,,294.115,312.438,,0,0,0,0,0
2313967.396,,294.268,314.408,,0,0,0,0,0
2314034.059,,294.109,317.207,,0,0,0,0,0
2314100.712,,294.205,316.37,,0,0,0,0,0
2314167.373,,294.009,317.338,,0,0,0,0,0
2314234.031,,294.023,317.127,,0,0,0,0,0
2314300.684,,294.172,314.012,,0,0,0,0,0
2314367.345,,294.693,312.261,,0,0,0,0,0
2314434.003,,293.606,313.364,,0,0,0,0,0
2314500.66,,292.807,312.238,,0,0,0,0,0
2314567.312,,294.099,311.924,,0,0,0,0,0
2314633.976,,293.755,308.632,,0,0,0,0,0
2314700.633,,292.897,307.177,,0,0,0,0,0
2314767.287,,293.249,306.693,,0,0,0,0,0
2314833.946,,292.939,305.94,,0,0,0,0,0
2314900.604,,292.413,304.32,,0,0,0,0,0
2314967.259,,293.175,303.195,,0,0,0,0,0
2315033.915,,292.942,299.523,,0,0,0,0,0
2315100.577,,293.402,298.922,,0,0,0,0,0
2315167.232,,293.593,299.687,,0,0,0,0,0
2315233.892,,293.709,300.607,,0,0,0,0,0
2315300.546,,292.876,303.019,,0,0,0,0,0
2315367.208,,293.129,302.031,,0,0,0,0,0
2315433.861,,292.065,305.501,,0,0,0,0,0
2315500.518,,291.749,304.989,,0,0,0,0,0
2315567.179,,292.054,305.165,,0,0,0,0,0
2315633.837,,291.787,304.862,,0,0,0,0,0
2315700.492,,291.741,307.316,,0,0,0,0,0
2315767.151,,291.387,308.105,,0,0,0,0,0
2315833.811,,291.061,305.507,,0,0,0,0,0
2315900.462,,291.676,304.897,,0,0,0,0,0
2315967.125,,294.022,303.23,,0,0,0,0,0
2316033.78,,293.211,300.147,,0,0,0,0,0
2316100.438,,294.887,298.394,,0,0,0,0,0
2316167.096,,291.745,296.558,,0,0,0,0,0
2316233.754,,291.714,299.01,,0,0,0,0,0
2316300.408,,291.959,300.641,,0,0,0,0,0
2316367.069,,291.244,303.467,,0,0,0,0,0
2316433.723,,290.596,304.612,,0,0,0,0,0
2316500.383,,290.341,306.24,,0,0,0,0,0
2316567.04,,291.643,316.98,,0,0,0,0,0
2316633.7,,292.179,325.978,,0,0,0,0,0
2316700.352,,291.064,322.137,,0,0,0,0,0
2316767.011,,291.336,321.144,,0,0,0,0,0
2316833.666,,290.078,317.467,,0,0,0,0,0
2316900.325,,290.478,312.549,,0,0,0,0,0
2316966.982,,290.204,311.332,,0,0,0,0,0
2317033.644,,289.807,305.503,,0,0,0,0,0
2317100.3,,286.695,309.024,,0,0,0,0,0
2317166.959,,287.685,315.866,,0,0,0,0,0
2317233.611,,290.658,317.856,,0,0,0,0,0
2317300.27,,293.912,313.454,,0,0,0,0,0
2317366.928,,290.373,310.361,,0,0,0,0,0
2317433.586,,291.678,311.541,,0,0,0,0,0
2317500.246,,293.902,313.962,,0,0,0,0,0
2317566.904,,290.489,303.783,,0,0,0,0,0
2317633.559,,291.963,308.275,,0,0,0,0,0
2317700.217,,292.691,308.453,,0,0,0,0,0
2317766.871,,290.011,307.148,,0,0,0,0,0
2317833.532,,289.777,307.619,,0,0,0,0,0
2317900.185,,289.666,310.608,,0,0,0,0,0
