TimeStamp,Events,CH1-410,CH1-470,Unnamed: 4,ToneStart_5_RWD,ToneStart_10_RWD,ToneStart_20_RWD,Dispense_RWD,Retrieval_RWD,Expected_Dispense_RWD
1306028.349,,800.938,816.767,,0,0,0,0,0,0
1306095.003,,799.308,815.513,,0,0,0,0,0,0
1306161.664,,798.651,814.845,,0,0,0,0,0,0
1306228.324,,798.869,815.644,,0,0,0,0,0,0
1306294.978,,799.816,817.145,,0,0,0,0,0,0
1306361.635,,799.382,826.34,,0,0,0,0,0,0
1306428.294,,798.945,830.482,,0,0,0,0,0,0
1306494.954,,798.956,833.31,,0,0,0,0,0,0
1306561.609,,799.026,832.389,,0,0,0,0,0,0
1306628.268,,789.892,825.384,,0,0,0,0,0,0
1306694.923,,789.808,828.999,,0,0,0,0,0,0
1306761.584,,788.632,825.296,,0,0,0,0,0,0
1306828.238,,788.932,821.964,,0,0,0,0,0,0
1306894.902,,789.436,821.214,,0,0,0,0,0,0
1306961.554,,793.664,819.954,,0,0,0,0,0,0
1307028.211,,791.732,816.039,,0,0,0,0,0,0
1307094.869,,790.85,817.246,,0,0,0,0,0,0
1307161.529,,793.93,813.878,,0,0,0,0,0,0
1307228.191,,792.655,812.948,,0,0,0,0,0,0
1307294.848,,789.796,811.848,,0,0,0,0,0,0
1307361.504,,789.123,811.507,,0,0,0,0,0,0
1307428.162,,788.215,809.577,,0,0,0,0,0,0
1307494.82,,785.552,810.853,,0,0,0,0,0,0
1307561.476,,787.09,813.289,,0,0,0,0,0,0
1307628.135,,795.051,813.575,,0,0,0,0,0,0
1307694.793,,786.363,810.479,,0,0,0,0,0,0
1307761.45,,787.104,813.194,,0,0,0,0,0,0
1307828.107,,787.609,814.333,,0,0,0,0,0,0
1307894.766,,787.939,816.077,,0,0,0,0,0,0
1307961.423,,789.314,818.052,,0,0,0,0,0,0
1308028.084,,791.887,820.401,,0,0,0,0,0,0
1308094.735,,794.152,822.412,,0,0,0,0,0,0
1308161.398,,794.797,824.102,,0,0,0,0,0,0
1308228.056,,792.572,823.198,,0,0,0,0,0,0
1308294.709,,792.197,823.323,,0,0,0,0,0,0
1308361.366,,789.745,824.304,,0,0,0,0,0,0
1308428.027,,788.899,824.13,,0,0,0,0,0,0
1308494.688,,789.546,825.347,,0,0,0,0,0,0
1308561.341,,789.685,825.379,,0,0,0,0,0,0
1308627.999,,788.519,824.982,,0,0,0,0,0,0
1308694.661,,789.957,825.325,,0,0,0,0,0,0
1308761.317,,791.102,828.779,,0,0,0,0,0,0
1308827.976,,789.752,828.48,,0,0,0,0,0,0
1308894.634,,790.225,828.699,,0,0,0,0,0,0
1308961.287,,790.849,828.191,,0,0,0,0,0,0
1309027.945,,790.583,826.48,,0,0,0,0,0,0
1309094.606,,788.933,823.064,,0,0,0,0,0,0
1309161.262,,786.837,822.465,,0,0,0,0,0,0
1309227.919,,788.9,824.123,,0,0,0,0,0,0
1309294.577,,789.619,824.149,,0,0,0,0,0,0
1309361.236,,791.336,821.677,,0,0,0,0,0,0
1309427.895,,788.383,824.837,,0,0,0,0,0,0
1309494.551,,794.243,822.712,,0,0,0,0,0,0
1309561.211,,791.867,828.495,,0,0,0,0,0,0
1309627.868,,792.542,831.715,,0,0,0,0,0,0
1309694.528,,791.005,835.063,,0,0,0,0,0,0
1309761.181,,790.439,838.412,,0,0,0,0,0,0
1309827.84,,789.542,838.844,,0,0,0,0,0,0
1309894.501,,789.972,851.446,,0,0,0,0,0,0
1309961.154,,790.449,859.319,,0,0,0,0,0,0
1310027.815,,791.601,860.183,,0,0,0,0,0,0
1310094.473,,790.887,861.126,,0,0,0,0,0,0
1310161.127,,792.888,858.727,,0,0,0,0,0,0
1310227.786,,791.72,855.808,,0,0,0,0,0,0
1310294.446,,792.791,852.025,,0,0,0,0,0,0
1310361.103,,792.421,848.638,,0,0,0,0,0,0
1310427.762,,793.402,844.73,,0,0,0,0,0,0
1310494.416,,792.911,841.593,,0,0,0,0,0,0
1310561.075,,792.801,839.477,,0,0,0,0,0,0
1310627.736,,793.426,837.127,,0,0,0,0,0,0
1310694.387,,795.591,835.293,,0,0,0,0,0,0
1310761.049,,794.646,834.898,,0,0,0,0,0,0
1310827.704,,791.778,834.199,,0,0,0,0,0,0
1310894.365,,794.28,832.59,,0,0,0,0,0,0
1310961.022,,788.239,828.789,,0,0,0,0,0,0
1311027.679,,790.615,824.912,,0,0,0,0,0,0
1311094.337,,790.392,821.219,,0,0,0,0,0,0
1311160.995,,789.167,823.119,,0,0,0,0,0,0
1311227.654,,794.733,817.938,,0,0,0,0,0,0
1311294.309,,785.97,821.381,,0,0,0,0,0,0
1311360.97,,789.938,822.113,,0,0,0,0,0,0
1311427.626,,790.235,822.415,,0,0,0,0,0,0
1311494.284,,794.352,822.061,,0,0,0,0,0,0
1311560.94,,790.672,820.168,,0,0,0,0,0,0
1311627.597,,791.778,820.709,,0,0,0,0,0,0
1311694.258,,793.92,822.141,,0,0,0,0,0,0
1311760.911,,791.467,824.341,,0,0,0,0,0,0
1311827.575,,792.724,833.517,,0,0,0,0,0,0
1311894.229,,793.108,835.796,,0,0,0,0,0,0
1311960.892,,793.063,837.771,,0,0,0,0,0,0
1312027.545,,792.492,838.303,,0,0,0,0,0,0
1312094.205,,793.168,840.572,,0,0,0,0,0,0
1312160.862,,797.121,840.983,,0,0,0,0,0,0
