group,cohort,animal,animal_id,date,day,n_tones,n_grabs,n_matched,n_success,n_delayed,n_no_pellet,success_pct,latency_median_from_tone_onset_s,latency_median_from_tone_end_s,latency_mean_from_tone_onset_s,source_file
SNI,OFP,F26,OFP_F26,09_16_25,1,78,70,70,56,14,8,71.7948717948718,7.1377663999992365,2.1377663999992365,219.71708818285737,SNI_OFP_F26_09_16_25_01_2025-09-16T10_30_40_cleaned.csv
SNI,OFP,F26,OFP_F26,09_17_25,2,91,75,75,41,34,16,45.05494505494506,9.278963199998543,4.278963199998543,46.520799232000236,SNI_OFP_F26_09_17_25_02_2025-09-17T10_14_59_cleaned.csv
SNI,OFP,F26,OFP_F26,09_18_25,3,59,40,40,9,31,19,15.254237288135593,21.763526399998227,16.763526399998227,73.87531071999996,SNI_OFP_F26_09_18_25_03_2025-09-18T11_14_04 - Copy_cleaned.csv
SNI,OFP,F29,OFP_F29,09_16_25,1,57,38,38,12,26,19,21.05263157894737,12.986233599996922,7.986233599996922,189.38425903157918,SNI_OFP_F29_09_16_25_01_2025-09-16T10_30_40_cleaned.csv
SNI,OFP,F29,OFP_F29,09_17_25,2,97,64,64,31,33,33,31.95876288659794,10.440044800001488,5.440044800001488,54.63256300000012,SNI_OFP_F29_09_17_25_02_2025-09-17T10_14_59_cleaned.csv
SNI,OFP,F29,OFP_F29,09_18_25,3,94,68,68,59,9,26,62.765957446808514,7.409260800000084,2.4092608000000837,55.948774588234976,SNI_OFP_F29_09_18_25_03_2025-09-18T11_14_04 - Copy_cleaned.csv
SNI,OFP,F4,OFP_F4,06_30_25,1,181,149,149,61,88,32,33.70165745856354,11.699238400011382,6.699238400011382,84.09210991677796,SNI_OFP_F4_06_30_25_01_2025-06-30T17_10_06_cleaned.csv
SNI,OFP,F4,OFP_F4,07_01_25,2,187,159,159,141,18,28,75.40106951871658,7.201651199997286,2.2016511999972863,8.957044729558957,SNI_OFP_F4_07_01_25_02_2025-07-01T17_28_20_cleaned.csv
SNI,OFP,F4,OFP_F4,07_02_25,3,262,173,173,157,16,89,59.9236641221374,6.81844479999927,1.81844479999927,73.96891738265866,SNI_OFP_F4_07_02_25_03_2025-07-02T17_11_57_cleaned.csv
SNI,OFP,M1,OFP_M1,07_12_25,1,219,184,184,137,47,35,62.55707762557078,8.264640000016698,3.2646400000166977,89.3077919999999,SNI_OFP_M1_07_12_25_01_2025-07-12T16_05_03_cleaned.csv
SNI,OFP,M1,OFP_M1,07_13_25,2,197,184,183,159,24,14,80.71065989847716,7.424665600003209,2.424665600003209,69.50314715628369,SNI_OFP_M1_07_13_25_02_2025-07-13T17_36_34_cleaned.csv
SNI,OFP,M1,OFP_M1,07_14_25,3,225,188,188,170,18,37,75.55555555555556,6.849516800008132,1.8495168000081321,8.744150331914938,SNI_OFP_M1_07_14_25_03_2025-07-14T19_11_05 _cleaned.csv
