TimeStamp,Events,UV,Fluorescence,ToneStart,PelletGrab,TimeStampAdjusted,Debleached Fluorescence,Debleached UV,Estimated Motion,CorrectedFluorescence,Corrected_Fluorescence_Z_25,CorrectedFluorescence_Z,Xpos,Ypos,Speed_cm,Speed_px,ToneStart_Bonsai,PelletGrab_Bonsai,Completed_Tone,Completed_PelletGrab,DistFromFED
2893227.581,,452.503,526.362,0,0,2893.2275809999996,-17.656518586894663,6.023111163291901,1.1981013738678428,-18.854619960762506,0.5148778329212478,-0.8733952614036954,322.8646436326364,41.022928061968614,2.2491271759613753,66.96580719772439,0,0,0,0,1.3219382955223165
2893294.239,,452.97,526.918,0,0,2893.294239,-17.099714823103795,6.4908026412489335,1.2911331663451109,-18.390847989448908,0.6079878812459218,-0.8519121319128814,344.23273701848024,39.92714266320404,12.935109011737609,385.1316303584793,0,0,0,0,1.9999023567800616
2893360.898,,451.624,527.33,0,0,2893.360898,-16.686911059022236,5.145494117327246,1.0235284112572267,-17.710439470279464,0.7445913717952638,-0.8203938314805207,362.46140455434016,43.73037053326968,6.095869349446105,181.49921263702487,0,0,0,0,2.6250736292376415
2893427.552,,450.756,529.18,0,0,2893.427552,-14.836107366995975,4.278185529288351,0.8510059763207496,-15.687113343316724,1.150808230749613,-0.7266680785753382,378.5504122301576,45.18112712389022,9.732486374960144,289.77632439191626,0,0,0,0,3.1642196466136796
2893494.217,,452.136,534.445,0,0,2893.4942170000004,-9.570303554103361,5.658877043101711,1.125649010120075,-10.695952564223436,2.152867971490931,-0.49546446999367993,401.75166275453233,45.00182750957833,15.03395905743769,447.6230665918313,0,0,0,0,3.930363209494244
2893560.873,,453.687,530.242,0,0,2893.5608730000004,-13.772499861495135,7.210568451307722,1.4343068323826473,-15.206806693877782,1.2472378946925469,-0.704419019590662,434.09606983442984,46.303848171881135,13.3843304950842,398.50680965664725,0,0,0,0,5.0119137345170826
2893627.526,,452.436,530.043,0,0,2893.627526,-13.97069621682374,5.960259816146902,1.1855991715398213,-15.15629538836356,1.2573788915364277,-0.7020792039393656,443.2054028290555,43.97101302989056,2.565091329601334,76.37336530301532,0,0,0,0,5.306344853153647
2893694.183,,456.953,528.631,0,0,2893.694183,-15.38189253568919,10.477951210227673,2.0842448558408613,-17.46613739153005,0.793639136138907,-0.8090771208613277,443.3449793217679,44.78021650396154,0.5443026254537574,16.206137679952175,0,0,0,0,5.31401458041534
2893760.842,,452.559,525.192,0,0,2893.760842,-18.820088842207042,6.084642612804146,1.210341026099382,-20.030429868306424,0.27881415489872297,-0.9278618485689369,443.68394558724793,45.28790370026869,0.45260480176103257,13.475914663890917,0,0,0,0,5.327275208144063
2893827.502,,453.128,521.894,0,0,2893.8275019999996,-22.11728514843469,6.65433401350333,1.3236623386822892,-23.44094748711698,-0.405904801704363,-1.085845935938603,442.1650588575175,47.803636025314916,3.1878770792485644,94.91626980486537,0,0,0,0,5.287191055489502
2893894.163,,451.472,519.05,0,0,2893.8941630000004,-24.96048145437237,4.9990254123255795,0.994393293748455,-25.954874748120826,-0.9106181160812394,-1.2022976152534661,433.70551971079004,50.34931494568837,5.426751951410426,161.57682356609632,0,0,0,0,5.018444268122911
2893960.819,,451.935,519.263,0,0,2893.9608190000004,-24.746677832357477,5.462716747041213,1.0866293896747858,-25.833307222032264,-0.8862113840470537,-1.1966662898039329,417.9063354091501,51.442545504344274,17.91624017083049,533.4404820728398,0,0,0,0,4.5017500289057315
2894027.479,,452.253,523.313,0,0,2894.027479,-20.69587417388334,5.781408110995812,1.1500225243225068,-21.845896698205845,-0.08567144302344204,-1.011959015723168,415.69217680139974,51.099769223514585,3.166257799400663,94.27257453430734,0,0,0,0,4.426574009460594
2894094.138,,451.006,526.207,0,0,2894.094138,-17.801070539230864,4.535099452331792,0.9021105268622801,-18.703181066093144,0.5452817462085492,-0.8663802161112585,428.1173801407846,50.0035281708982,5.556983597856845,165.45435766918592,0,0,0,0,4.831292489209239
2894160.795,,451.402,528.476,0,0,2894.160795,-15.531266940455112,4.931790760679178,0.9810191775756045,-16.512286118030715,0.9851408733364326,-0.7648922375758568,421.7815715533895,50.46418652866217,1.9160359969517744,57.04830679524758,0,0,0,0,4.624018028152911
2894227.453,,450.832,528.113,0,0,2894.2274530000004,-15.893463341388383,4.36248206715203,0.8677739919607661,-16.76123733334915,0.9351597163830905,-0.7764243083485535,423.59534181678276,50.61733476179823,1.217239652609602,36.24225288871796,0,0,0,0,4.684918508751707
2894294.112,,450.256,527.025,0,0,2894.294112,-16.980659742031207,3.7871733717501,0.753335303886323,-17.73399504591753,0.7398621925398559,-0.8214849872919207,426.2708516779268,51.88713994866712,2.0369165659205897,60.647420692421704,0,0,0,0,4.780805723970395
2894360.766,,449.471,526.964,0,0,2894.360766,-17.040856214714267,3.002864612250619,0.5973229470424747,-17.638179161756742,0.7590988479574163,-0.8170465451823797,430.08649758117053,60.94831275308548,6.870134908478602,204.55229682904985,0,0,0,0,4.969629963096977
2894427.426,,447.379,524.412,0,0,2894.427426,-19.592052626830764,0.9115559027302425,0.18132606225878972,-19.773378689089554,0.330421516272904,-0.9159545663042475,429.21088859461366,67.19191022376711,2.8553134940621736,85.01447804999977,0,0,0,0,4.992305603429083
2894494.081,,447.342,525.798,0,0,2894.494081,-18.20524911098596,0.8752471291144275,0.17410362941291918,-18.37935274039888,0.6102957464485573,-0.851379641941201,431.1592980660961,68.47660087341407,1.0661536718518767,31.743799103695775,0,0,0,0,5.067051171068714
2894560.743,,446.898,524.098,0,0,2894.560743,-19.904445522521996,0.4319384158459343,0.08592198369144606,-19.990367506213442,0.28685735004894436,-0.9260060552787266,432.8397038916031,68.75872462053877,1.9930492555782764,59.34130964718524,0,0,0,0,5.1239219176983966
2894627.397,,447.102,522.768,0,0,2894.6273969999997,-21.233642042258452,0.6366296073750277,0.12663854439390307,-21.360280586652355,0.0118241850239273,-0.9894640085803692,444.3376161259419,69.31907715603036,7.001491078431311,208.46331264233973,0,0,0,0,5.501569515738844
2894694.059,,447.555,522.32,0,0,2894.694059,-21.68083847732339,1.0903208696196316,0.21688545576004836,-21.89772393308344,-0.09607663489029623,-1.0143597886609386,462.05926571872305,62.613746901033366,9.366013767612543,278.86492096876583,0,0,0,0,6.029273909660067
2894760.713,,448.757,523.574,0,0,2894.760713,-20.4260350205858,2.2930120366657434,0.4561211920099969,-20.8821562125958,0.10781572036297798,-0.9673160382934244,470.8761777260458,62.97154979319462,3.6216581237291057,107.83172345336568,0,0,0,0,6.3218742784338895
2894827.373,,449.816,526.917,0,0,2894.827373,-17.082231503286607,3.3527032536869115,0.6669118051349898,-17.749143308421598,0.7368209232501368,-0.8221866943916705,472.7563024202729,64.7268386072693,1.8727344545463622,55.75904099868501,0,0,0,0,6.395352025373693
2894894.028,,449.277,526.882,0,0,2894.8940279999997,-17.116428058020006,2.814394406621318,0.5598330164265827,-17.67626107444659,0.7514532614403949,-0.8188105988815643,464.159005798139,63.52524230308317,4.150797249781048,123.58638111554063,0,0,0,0,6.10433224717823
2894960.687,,448.332,529.629,0,0,2894.960687,-14.368624576300931,1.8700855887915395,0.37199392566841133,-14.740618501969342,1.340833040069791,-0.6828239644486054,458.6082931371369,64.89522729598477,3.324433704831761,98.98212466541489,0,0,0,0,5.931673912963424
2895027.35,,446.804,531.538,0,0,2895.0273500000003,-12.458821058131889,0.3427768001959066,0.06818622130311926,-12.527007279435008,1.7852528425827021,-0.5802837087248118,451.24882742876025,66.49757608858083,3.3923691951489405,101.0048448544225,0,0,0,0,5.702788437805931
2895094.006,,446.681,534.396,0,0,2895.0940060000003,-9.600017636099324,0.22046792677957683,0.04385690536283219,-9.643874541462155,2.364090385952868,-0.44672946702788635,447.8378029810867,67.6442723366736,1.5875257579576134,47.26719990094264,0,0,0,0,5.600735406365935
2895160.661,,447.729,536.708,0,0,2895.160661,-7.2872142378814715,1.2691590307565548,0.2524594088425011,-7.539673646723973,2.7865442191135052,-0.3492573835634461,444.34509550594055,66.72383306539214,1.3493828392612974,40.17670144031067,0,0,0,0,5.479446314521856
2895227.321,,445.931,534.371,0,0,2895.227321,-9.623410791160836,-0.5281498256636041,-0.10505590291478899,-9.518354888246048,2.389290574190948,-0.44091506872337927,440.5237126587521,68.95141181514705,1.8980320183106052,56.512253976463,0,0,0,0,5.374242779041644
